layer,head,type,effect
0,0,attn_head,0.01610565185546875
0,1,attn_head,-0.01470947265625
0,2,attn_head,-0.0387115478515625
0,3,attn_head,0.00077056884765625
0,4,attn_head,-0.03017425537109375
0,5,attn_head,0.0010223388671875
0,6,attn_head,-0.01031494140625
0,7,attn_head,0.01850128173828125
0,8,attn_head,0.124786376953125
0,9,attn_head,0.01123046875
0,10,attn_head,0.02243804931640625
0,11,attn_head,0.03521728515625
1,0,attn_head,-0.03780364990234375
1,1,attn_head,-0.02767181396484375
1,2,attn_head,0.032135009765625
1,3,attn_head,-0.02602386474609375
1,4,attn_head,-0.01534271240234375
1,5,attn_head,0.00376129150390625
1,6,attn_head,0.02392578125
1,7,attn_head,0.0154876708984375
1,8,attn_head,-0.01177215576171875
1,9,attn_head,0.0037689208984375
1,10,attn_head,-0.027130126953125
1,11,attn_head,0.030487060546875
2,0,attn_head,-0.008209228515625
2,1,attn_head,-0.007232666015625
2,2,attn_head,0.0246124267578125
2,3,attn_head,-0.02875518798828125
2,4,attn_head,-0.03813934326171875
2,5,attn_head,-0.015777587890625
2,6,attn_head,0.04638671875
2,7,attn_head,-0.01309967041015625
2,8,attn_head,-0.015716552734375
2,9,attn_head,0.0356292724609375
2,10,attn_head,0.00724029541015625
2,11,attn_head,0.00238800048828125
3,0,attn_head,0.0196075439453125
3,1,attn_head,-0.0192413330078125
3,2,attn_head,-0.01537322998046875
3,3,attn_head,-0.010284423828125
3,4,attn_head,-0.0032196044921875
3,5,attn_head,0.02783203125
3,6,attn_head,0.01982879638671875
3,7,attn_head,-0.019287109375
3,8,attn_head,-0.0211029052734375
3,9,attn_head,0.02492523193359375
3,10,attn_head,0.0058135986328125
3,11,attn_head,0.05522918701171875
4,0,attn_head,-0.01706695556640625
4,1,attn_head,0.03519439697265625
4,2,attn_head,0.0218963623046875
4,3,attn_head,-0.01433563232421875
4,4,attn_head,-0.02391815185546875
4,5,attn_head,0.039276123046875
4,6,attn_head,0.0002288818359375
4,7,attn_head,-0.00914764404296875
4,8,attn_head,0.00141143798828125
4,9,attn_head,0.01324462890625
4,10,attn_head,-0.0025177001953125
4,11,attn_head,0.0504913330078125
5,0,attn_head,-0.03778076171875
5,1,attn_head,0.0287017822265625
5,2,attn_head,0.04253387451171875
5,3,attn_head,0.0106964111328125
5,4,attn_head,-0.0073699951171875
5,5,attn_head,0.02773284912109375
5,6,attn_head,0.00962066650390625
5,7,attn_head,0.01139068603515625
5,8,attn_head,-0.0101470947265625
5,9,attn_head,-0.02153778076171875
5,10,attn_head,0.001800537109375
5,11,attn_head,0.0207672119140625
6,0,attn_head,0.01038360595703125
6,1,attn_head,0.0238037109375
6,2,attn_head,0.05889129638671875
6,3,attn_head,-0.00801849365234375
6,4,attn_head,-0.01160430908203125
6,5,attn_head,-0.0368194580078125
6,6,attn_head,0.0444793701171875
6,7,attn_head,0.02655029296875
6,8,attn_head,0.02413177490234375
6,9,attn_head,0.012237548828125
6,10,attn_head,-0.0183868408203125
6,11,attn_head,0.029541015625
7,0,attn_head,0.0359954833984375
7,1,attn_head,-0.0012969970703125
7,2,attn_head,0.0142669677734375
7,3,attn_head,0.00325775146484375
7,4,attn_head,-0.0068206787109375
7,5,attn_head,0.03069305419921875
7,6,attn_head,0.011871337890625
7,7,attn_head,0.05849456787109375
7,8,attn_head,0.0103302001953125
7,9,attn_head,-0.01220703125
7,10,attn_head,0.0035400390625
7,11,attn_head,0.050811767578125
8,0,attn_head,0.01427459716796875
8,1,attn_head,0.0192413330078125
8,2,attn_head,0.02878570556640625
8,3,attn_head,-0.014495849609375
8,4,attn_head,0.0037689208984375
8,5,attn_head,-0.03216552734375
8,6,attn_head,-0.00450897216796875
8,7,attn_head,0.02857208251953125
8,8,attn_head,0.00592041015625
8,9,attn_head,0.02643585205078125
8,10,attn_head,-0.03072357177734375
8,11,attn_head,0.0277252197265625
9,0,attn_head,0.00753021240234375
9,1,attn_head,0.00384521484375
9,2,attn_head,0.023681640625
9,3,attn_head,0.01096343994140625
9,4,attn_head,-0.01039886474609375
9,5,attn_head,-0.0296173095703125
9,6,attn_head,0.0125274658203125
9,7,attn_head,-0.00318145751953125
9,8,attn_head,-0.00911712646484375
9,9,attn_head,0.02169036865234375
9,10,attn_head,-0.0204925537109375
9,11,attn_head,-0.00376129150390625
10,0,attn_head,0.0045623779296875
10,1,attn_head,0.01978302001953125
10,2,attn_head,0.0174560546875
10,3,attn_head,0.029541015625
10,4,attn_head,-0.03345489501953125
10,5,attn_head,-0.037109375
10,6,attn_head,0.0078125
10,7,attn_head,-0.0042266845703125
10,8,attn_head,-0.0153045654296875
10,9,attn_head,-0.00885009765625
10,10,attn_head,0.0169677734375
10,11,attn_head,-0.019866943359375
11,0,attn_head,0.02481842041015625
11,1,attn_head,0.03028106689453125
11,2,attn_head,0.00881195068359375
11,3,attn_head,0.0381317138671875
11,4,attn_head,0.0057830810546875
11,5,attn_head,0.0015411376953125
11,6,attn_head,-0.01178741455078125
11,7,attn_head,0.01882171630859375
11,8,attn_head,0.00948333740234375
11,9,attn_head,0.0322723388671875
11,10,attn_head,0.0380706787109375
11,11,attn_head,0.0223541259765625
0,-1,mlp,0.16614532470703125
1,-1,mlp,0.16965484619140625
2,-1,mlp,-0.015228271484375
3,-1,mlp,0.02725982666015625
4,-1,mlp,0.3140716552734375
5,-1,mlp,0.0817413330078125
6,-1,mlp,0.16312408447265625
7,-1,mlp,-0.01277923583984375
8,-1,mlp,0.09001922607421875
9,-1,mlp,0.0312652587890625
10,-1,mlp,0.02498626708984375
11,-1,mlp,0.08171844482421875
