layer,head,type,effect
0,0,attn_head,0.0
0,1,attn_head,0.0
0,2,attn_head,0.0
0,3,attn_head,0.0
0,4,attn_head,0.0
0,5,attn_head,0.0
0,6,attn_head,0.0
0,7,attn_head,0.0
0,8,attn_head,0.0
0,9,attn_head,0.0
0,10,attn_head,0.0
0,11,attn_head,0.0
0,12,attn_head,0.0
0,13,attn_head,0.0
0,14,attn_head,0.0
0,15,attn_head,0.0
0,16,attn_head,0.0
0,17,attn_head,0.0
0,18,attn_head,0.0
0,19,attn_head,0.0
0,20,attn_head,0.0
0,21,attn_head,0.0
0,22,attn_head,0.0
0,23,attn_head,0.0
0,24,attn_head,0.0
0,25,attn_head,0.0
0,26,attn_head,0.0
0,27,attn_head,0.0
0,28,attn_head,0.0
0,29,attn_head,0.0
0,30,attn_head,0.0
0,31,attn_head,0.0
1,0,attn_head,0.0
1,1,attn_head,0.0
1,2,attn_head,0.0
1,3,attn_head,0.0
1,4,attn_head,0.0
1,5,attn_head,0.0
1,6,attn_head,0.0
1,7,attn_head,0.0
1,8,attn_head,0.0
1,9,attn_head,0.0
1,10,attn_head,0.0
1,11,attn_head,0.0
1,12,attn_head,0.0
1,13,attn_head,0.0
1,14,attn_head,0.0
1,15,attn_head,0.0
1,16,attn_head,0.0
1,17,attn_head,0.0
1,18,attn_head,0.0
1,19,attn_head,0.0
1,20,attn_head,0.0
1,21,attn_head,0.0
1,22,attn_head,0.0
1,23,attn_head,0.0
1,24,attn_head,0.0
1,25,attn_head,0.0
1,26,attn_head,0.0
1,27,attn_head,0.0
1,28,attn_head,0.0
1,29,attn_head,0.0
1,30,attn_head,0.0
1,31,attn_head,0.0
2,0,attn_head,0.0
2,1,attn_head,0.0
2,2,attn_head,0.0
2,3,attn_head,0.0
2,4,attn_head,0.0
2,5,attn_head,0.0
2,6,attn_head,0.0
2,7,attn_head,0.0
2,8,attn_head,0.0
2,9,attn_head,0.0
2,10,attn_head,0.0
2,11,attn_head,0.0
2,12,attn_head,0.0
2,13,attn_head,0.0
2,14,attn_head,0.0
2,15,attn_head,0.0
2,16,attn_head,0.0
2,17,attn_head,0.0
2,18,attn_head,0.0
2,19,attn_head,0.0
2,20,attn_head,0.0
2,21,attn_head,0.0
2,22,attn_head,0.0
2,23,attn_head,0.0
2,24,attn_head,0.0
2,25,attn_head,0.0
2,26,attn_head,0.0
2,27,attn_head,0.0
2,28,attn_head,0.0
2,29,attn_head,0.0
2,30,attn_head,0.0
2,31,attn_head,0.0
3,0,attn_head,0.0
3,1,attn_head,0.0
3,2,attn_head,0.0
3,3,attn_head,0.0
3,4,attn_head,0.0
3,5,attn_head,0.0
3,6,attn_head,0.0
3,7,attn_head,0.0
3,8,attn_head,0.0
3,9,attn_head,0.0
3,10,attn_head,0.0
3,11,attn_head,0.0
3,12,attn_head,0.0
3,13,attn_head,0.0
3,14,attn_head,0.0
3,15,attn_head,0.0
3,16,attn_head,0.0
3,17,attn_head,0.0
3,18,attn_head,0.0
3,19,attn_head,0.0
3,20,attn_head,0.0
3,21,attn_head,0.0
3,22,attn_head,0.0
3,23,attn_head,0.0
3,24,attn_head,0.0
