layer,head,type,effect
0,0,attn_head,-0.11936187744140625
0,1,attn_head,-0.1435546875
0,2,attn_head,-0.17861175537109375
0,3,attn_head,-0.21019744873046875
0,4,attn_head,-0.14675140380859375
0,5,attn_head,-0.1720733642578125
0,6,attn_head,-0.11820220947265625
0,7,attn_head,-0.10857391357421875
0,8,attn_head,-0.1605987548828125
0,9,attn_head,-0.050048828125
0,10,attn_head,-0.223388671875
0,11,attn_head,-0.168212890625
1,0,attn_head,0.026123046875
1,1,attn_head,-0.004730224609375
1,2,attn_head,-0.00041961669921875
1,3,attn_head,0.009613037109375
1,4,attn_head,0.01044464111328125
1,5,attn_head,0.0185699462890625
1,6,attn_head,0.01663970947265625
1,7,attn_head,0.0286712646484375
1,8,attn_head,0.0160675048828125
1,9,attn_head,0.0206146240234375
1,10,attn_head,0.0253753662109375
1,11,attn_head,0.015472412109375
2,0,attn_head,-0.02459716796875
2,1,attn_head,0.0029449462890625
2,2,attn_head,-0.022247314453125
2,3,attn_head,-0.0081634521484375
2,4,attn_head,-0.00437164306640625
2,5,attn_head,-0.00399017333984375
2,6,attn_head,0.01441192626953125
2,7,attn_head,-0.01178741455078125
2,8,attn_head,-0.00733184814453125
2,9,attn_head,-0.02274322509765625
2,10,attn_head,-0.00251007080078125
2,11,attn_head,-0.016204833984375
3,0,attn_head,-0.01662445068359375
3,1,attn_head,-0.05255126953125
3,2,attn_head,-0.03057861328125
3,3,attn_head,-0.0044403076171875
3,4,attn_head,-0.00824737548828125
3,5,attn_head,-0.02233123779296875
3,6,attn_head,-0.000823974609375
3,7,attn_head,-0.004547119140625
3,8,attn_head,-0.0053558349609375
3,9,attn_head,-0.0344696044921875
3,10,attn_head,-0.01297760009765625
3,11,attn_head,-0.00366973876953125
4,0,attn_head,-0.0207977294921875
4,1,attn_head,-0.00254058837890625
4,2,attn_head,0.017303466796875
4,3,attn_head,0.05233001708984375
4,4,attn_head,0.02887725830078125
4,5,attn_head,0.00988006591796875
4,6,attn_head,0.016632080078125
4,7,attn_head,0.034149169921875
4,8,attn_head,0.03350067138671875
4,9,attn_head,0.00502777099609375
4,10,attn_head,0.00635528564453125
4,11,attn_head,0.0272369384765625
5,0,attn_head,-0.0549774169921875
5,1,attn_head,-0.03006744384765625
5,2,attn_head,-0.02405548095703125
5,3,attn_head,-0.06899261474609375
5,4,attn_head,-0.0601959228515625
5,5,attn_head,-0.03110504150390625
5,6,attn_head,-0.09224700927734375
5,7,attn_head,-0.02962493896484375
5,8,attn_head,-0.01088714599609375
5,9,attn_head,-0.11541748046875
5,10,attn_head,0.00504302978515625
5,11,attn_head,-0.09412384033203125
6,0,attn_head,-0.0234375
6,1,attn_head,-0.00445556640625
6,2,attn_head,-0.00421905517578125
6,3,attn_head,0.00994873046875
6,4,attn_head,0.004608154296875
6,5,attn_head,-0.01038360595703125
6,6,attn_head,-0.03757476806640625
6,7,attn_head,-7.62939453125e-05
6,8,attn_head,-0.03656768798828125
6,9,attn_head,-0.00035858154296875
6,10,attn_head,-0.00323486328125
6,11,attn_head,-0.00925445556640625
7,0,attn_head,-0.00464630126953125
7,1,attn_head,-0.03418731689453125
7,2,attn_head,-0.02155303955078125
7,3,attn_head,-0.00818634033203125
7,4,attn_head,0.0160064697265625
7,5,attn_head,-0.03276824951171875
7,6,attn_head,-0.02800750732421875
7,7,attn_head,0.021270751953125
7,8,attn_head,-0.017486572265625
7,9,attn_head,-0.01494598388671875
7,10,attn_head,0.000579833984375
7,11,attn_head,-0.03673553466796875
8,0,attn_head,-0.04514312744140625
8,1,attn_head,-0.01836395263671875
8,2,attn_head,0.0242767333984375
8,3,attn_head,0.0064697265625
8,4,attn_head,-0.0125579833984375
8,5,attn_head,-0.0483856201171875
8,6,attn_head,0.0001373291015625
8,7,attn_head,0.00067138671875
8,8,attn_head,-0.01659393310546875
8,9,attn_head,-0.01641082763671875
8,10,attn_head,-0.01886749267578125
8,11,attn_head,0.0077056884765625
9,0,attn_head,0.004180908203125
9,1,attn_head,-0.03133392333984375
9,2,attn_head,0.0599212646484375
9,3,attn_head,0.0769500732421875
9,4,attn_head,-0.013641357421875
9,5,attn_head,-0.030303955078125
9,6,attn_head,-0.008544921875
9,7,attn_head,0.06402587890625
9,8,attn_head,0.0067291259765625
9,9,attn_head,0.0200042724609375
9,10,attn_head,-0.01837158203125
9,11,attn_head,-0.0052490234375
10,0,attn_head,-0.02663421630859375
10,1,attn_head,-0.02269744873046875
10,2,attn_head,-0.01583099365234375
10,3,attn_head,-0.07574462890625
10,4,attn_head,-0.0139617919921875
10,5,attn_head,-0.0050201416015625
10,6,attn_head,0.00042724609375
10,7,attn_head,-0.0053253173828125
10,8,attn_head,-0.01393890380859375
10,9,attn_head,-0.0395660400390625
10,10,attn_head,0.00397491455078125
10,11,attn_head,-0.02764129638671875
11,0,attn_head,0.00160980224609375
11,1,attn_head,0.0016326904296875
11,2,attn_head,0.000762939453125
11,3,attn_head,-0.01741790771484375
11,4,attn_head,0.00199127197265625
11,5,attn_head,9.1552734375e-05
11,6,attn_head,0.00750732421875
11,7,attn_head,0.0205535888671875
11,8,attn_head,0.01197052001953125
11,9,attn_head,-0.0084686279296875
11,10,attn_head,-0.012664794921875
11,11,attn_head,-0.00316619873046875
0,-1,mlp,-0.19893646240234375
1,-1,mlp,-0.44429779052734375
2,-1,mlp,-0.38338470458984375
3,-1,mlp,0.025299072265625
4,-1,mlp,-0.1665802001953125
5,-1,mlp,-0.0965728759765625
6,-1,mlp,0.12268829345703125
7,-1,mlp,-0.2108154296875
8,-1,mlp,-0.04398345947265625
9,-1,mlp,-0.5435256958007812
10,-1,mlp,-0.07810211181640625
11,-1,mlp,0.08228302001953125
