layer,head,type,effect
0,0,attn_head,0.0625
0,1,attn_head,0.0
0,2,attn_head,0.0625
0,3,attn_head,0.0625
0,4,attn_head,0.0
0,5,attn_head,0.125
0,6,attn_head,0.03125
0,7,attn_head,0.0
0,8,attn_head,0.0
0,9,attn_head,-0.0625
0,10,attn_head,0.0625
0,11,attn_head,0.125
0,12,attn_head,0.0625
0,13,attn_head,0.0
0,14,attn_head,0.0625
0,15,attn_head,0.0
0,16,attn_head,0.0625
0,17,attn_head,0.125
0,18,attn_head,0.0
0,19,attn_head,0.0625
0,20,attn_head,0.0625
0,21,attn_head,0.0
0,22,attn_head,0.0625
0,23,attn_head,0.0625
0,24,attn_head,0.0
0,25,attn_head,0.0625
0,26,attn_head,0.0
0,27,attn_head,0.0625
0,28,attn_head,0.0625
0,29,attn_head,-0.125
0,30,attn_head,0.0
0,31,attn_head,0.0625
0,32,attn_head,0.0625
0,33,attn_head,0.0
0,34,attn_head,0.03125
0,35,attn_head,0.0
0,36,attn_head,0.0
0,37,attn_head,0.0
0,38,attn_head,0.0625
0,39,attn_head,0.0625
0,40,attn_head,0.0
0,41,attn_head,0.0625
0,42,attn_head,0.0625
0,43,attn_head,0.0625
0,44,attn_head,-0.0625
0,45,attn_head,-0.0625
0,46,attn_head,0.0
0,47,attn_head,-0.0625
0,48,attn_head,0.125
0,49,attn_head,0.0
0,50,attn_head,0.0625
0,51,attn_head,0.0625
0,52,attn_head,0.0
0,53,attn_head,0.0625
0,54,attn_head,0.0625
0,55,attn_head,0.125
0,56,attn_head,0.0
0,57,attn_head,0.0625
0,58,attn_head,0.0
0,59,attn_head,0.0
0,60,attn_head,0.125
0,61,attn_head,-0.0625
0,62,attn_head,0.0625
0,63,attn_head,0.0625
1,0,attn_head,0.125
1,1,attn_head,0.0
1,2,attn_head,0.0625
1,3,attn_head,0.0625
1,4,attn_head,0.0625
1,5,attn_head,0.0
1,6,attn_head,0.0625
1,7,attn_head,-0.03125
1,8,attn_head,0.0625
1,9,attn_head,0.0
1,10,attn_head,0.125
1,11,attn_head,0.0625
1,12,attn_head,-0.0625
1,13,attn_head,0.0625
1,14,attn_head,0.0625
1,15,attn_head,0.0
1,16,attn_head,0.0625
1,17,attn_head,0.0
1,18,attn_head,0.0
1,19,attn_head,0.0625
1,20,attn_head,0.0
1,21,attn_head,0.0
1,22,attn_head,0.0
1,23,attn_head,0.125
1,24,attn_head,0.0625
1,25,attn_head,0.03125
1,26,attn_head,0.0625
1,27,attn_head,0.0625
1,28,attn_head,0.0
1,29,attn_head,0.0625
1,30,attn_head,0.0
1,31,attn_head,0.0625
1,32,attn_head,0.0625
1,33,attn_head,0.0625
1,34,attn_head,0.125
1,35,attn_head,-0.0625
1,36,attn_head,0.0625
1,37,attn_head,0.125
1,38,attn_head,0.0
1,39,attn_head,-0.0625
1,40,attn_head,0.0625
1,41,attn_head,0.03125
1,42,attn_head,0.125
1,43,attn_head,0.0625
1,44,attn_head,-0.03125
1,45,attn_head,0.125
1,46,attn_head,-0.0625
1,47,attn_head,0.0625
1,48,attn_head,0.0625
1,49,attn_head,0.0625
1,50,attn_head,0.0
1,51,attn_head,0.0625
1,52,attn_head,0.0625
1,53,attn_head,0.0625
1,54,attn_head,0.0
1,55,attn_head,0.0
1,56,attn_head,-0.0625
1,57,attn_head,0.0
1,58,attn_head,0.0
1,59,attn_head,0.0
1,60,attn_head,0.0
1,61,attn_head,0.0625
1,62,attn_head,0.125
1,63,attn_head,0.0625
2,0,attn_head,0.0625
2,1,attn_head,0.0
2,2,attn_head,0.125
2,3,attn_head,0.0625
2,4,attn_head,0.0
2,5,attn_head,0.0625
2,6,attn_head,0.125
2,7,attn_head,0.0625
2,8,attn_head,0.125
2,9,attn_head,0.0625
2,10,attn_head,0.125
2,11,attn_head,0.0625
2,12,attn_head,0.0625
2,13,attn_head,0.0625
2,14,attn_head,0.0
2,15,attn_head,0.0625
2,16,attn_head,0.0
2,17,attn_head,0.0
2,18,attn_head,0.0
2,19,attn_head,-0.0625
2,20,attn_head,0.125
2,21,attn_head,0.125
2,22,attn_head,0.1875
2,23,attn_head,-0.03125
2,24,attn_head,0.0625
2,25,attn_head,0.0625
2,26,attn_head,0.0625
2,27,attn_head,0.0625
2,28,attn_head,0.0625
2,29,attn_head,0.0625
2,30,attn_head,0.0
2,31,attn_head,0.0
2,32,attn_head,0.0
2,33,attn_head,0.0
2,34,attn_head,0.0625
2,35,attn_head,0.0
2,36,attn_head,0.125
2,37,attn_head,0.125
2,38,attn_head,0.0625
2,39,attn_head,0.0
2,40,attn_head,0.0625
2,41,attn_head,0.0
2,42,attn_head,0.0625
2,43,attn_head,0.0625
2,44,attn_head,0.0625
2,45,attn_head,0.0625
2,46,attn_head,0.0625
2,47,attn_head,0.0625
2,48,attn_head,0.0
2,49,attn_head,0.0625
2,50,attn_head,0.125
2,51,attn_head,0.0
2,52,attn_head,0.0
2,53,attn_head,0.125
2,54,attn_head,-0.0625
2,55,attn_head,-0.03125
2,56,attn_head,0.0625
2,57,attn_head,0.0
2,58,attn_head,0.0625
2,59,attn_head,0.0625
2,60,attn_head,0.0
2,61,attn_head,0.125
2,62,attn_head,0.0
2,63,attn_head,0.0
3,0,attn_head,0.0
3,1,attn_head,0.0625
3,2,attn_head,0.125
3,3,attn_head,0.125
3,4,attn_head,-0.0625
3,5,attn_head,-0.03125
3,6,attn_head,0.0625
3,7,attn_head,0.0
3,8,attn_head,0.0
3,9,attn_head,0.0625
3,10,attn_head,0.0
3,11,attn_head,0.0
3,12,attn_head,0.0
3,13,attn_head,0.0625
3,14,attn_head,0.0
3,15,attn_head,0.0
3,16,attn_head,0.0625
3,17,attn_head,-0.0625
3,18,attn_head,0.0625
3,19,attn_head,0.0625
3,20,attn_head,0.125
3,21,attn_head,0.0625
3,22,attn_head,0.0
3,23,attn_head,0.0
3,24,attn_head,0.0
3,25,attn_head,0.0625
3,26,attn_head,0.0625
3,27,attn_head,0.0625
3,28,attn_head,0.0625
3,29,attn_head,0.0
3,30,attn_head,-0.03125
3,31,attn_head,0.0
3,32,attn_head,0.125
3,33,attn_head,0.0625
3,34,attn_head,0.0
3,35,attn_head,0.0625
3,36,attn_head,0.0
3,37,attn_head,0.0
3,38,attn_head,0.125
3,39,attn_head,0.0
3,40,attn_head,0.125
3,41,attn_head,0.0625
3,42,attn_head,-0.0625
3,43,attn_head,0.0625
3,44,attn_head,0.0625
3,45,attn_head,0.0625
3,46,attn_head,0.0625
3,47,attn_head,-0.03125
3,48,attn_head,0.0
3,49,attn_head,-0.0625
3,50,attn_head,0.125
3,51,attn_head,0.0
3,52,attn_head,0.0
3,53,attn_head,0.125
