layer,head,type,effect
0,0,attn_head,0.0088958740234375
0,1,attn_head,-0.03150177001953125
0,2,attn_head,-0.04785919189453125
0,3,attn_head,0.0107421875
0,4,attn_head,-0.037200927734375
0,5,attn_head,-0.01070404052734375
0,6,attn_head,-0.01097869873046875
0,7,attn_head,0.001922607421875
0,8,attn_head,0.078857421875
0,9,attn_head,0.005340576171875
0,10,attn_head,0.01970672607421875
0,11,attn_head,0.01381683349609375
1,0,attn_head,-0.0294952392578125
1,1,attn_head,-0.0303955078125
1,2,attn_head,0.02863311767578125
1,3,attn_head,-0.01519775390625
1,4,attn_head,-0.003326416015625
1,5,attn_head,0.00182342529296875
1,6,attn_head,0.0200042724609375
1,7,attn_head,0.01483154296875
1,8,attn_head,-0.00756072998046875
1,9,attn_head,-0.00524139404296875
1,10,attn_head,-0.02303314208984375
1,11,attn_head,0.01985931396484375
2,0,attn_head,-0.00423431396484375
2,1,attn_head,-0.020050048828125
2,2,attn_head,0.02249908447265625
2,3,attn_head,-0.02005767822265625
2,4,attn_head,-0.02947235107421875
2,5,attn_head,-0.02057647705078125
2,6,attn_head,0.04233551025390625
2,7,attn_head,-0.00849151611328125
2,8,attn_head,-0.0095672607421875
2,9,attn_head,0.03285980224609375
2,10,attn_head,0.00569915771484375
2,11,attn_head,0.003570556640625
3,0,attn_head,0.01737213134765625
3,1,attn_head,-0.02600860595703125
3,2,attn_head,-0.01587677001953125
3,3,attn_head,-0.00860595703125
3,4,attn_head,-0.00498199462890625
3,5,attn_head,0.0364532470703125
3,6,attn_head,0.0262908935546875
3,7,attn_head,-0.0113983154296875
3,8,attn_head,-0.0158538818359375
3,9,attn_head,0.01984405517578125
3,10,attn_head,-0.00824737548828125
3,11,attn_head,0.0353240966796875
4,0,attn_head,-0.00795745849609375
4,1,attn_head,0.02617645263671875
4,2,attn_head,0.01309967041015625
4,3,attn_head,-0.02010345458984375
4,4,attn_head,-0.01776885986328125
4,5,attn_head,0.03275299072265625
4,6,attn_head,-0.00319671630859375
4,7,attn_head,0.0003662109375
4,8,attn_head,0.00030517578125
4,9,attn_head,0.01796722412109375
4,10,attn_head,-0.00627899169921875
4,11,attn_head,0.037872314453125
5,0,attn_head,-0.0328521728515625
5,1,attn_head,0.0184326171875
5,2,attn_head,0.030609130859375
5,3,attn_head,0.0125579833984375
5,4,attn_head,-0.001708984375
5,5,attn_head,0.0263519287109375
5,6,attn_head,0.0102386474609375
5,7,attn_head,0.01068878173828125
5,8,attn_head,-0.00838470458984375
5,9,attn_head,-0.03607940673828125
5,10,attn_head,-0.00699615478515625
5,11,attn_head,0.0094757080078125
6,0,attn_head,0.00400543212890625
6,1,attn_head,0.02156829833984375
6,2,attn_head,0.0484771728515625
6,3,attn_head,-0.00794219970703125
6,4,attn_head,-0.01717376708984375
6,5,attn_head,-0.045806884765625
6,6,attn_head,0.0285186767578125
6,7,attn_head,0.022552490234375
6,8,attn_head,0.01482391357421875
6,9,attn_head,0.0036468505859375
6,10,attn_head,-0.0231781005859375
6,11,attn_head,0.02606964111328125
7,0,attn_head,0.02719879150390625
7,1,attn_head,-0.002166748046875
7,2,attn_head,0.01224517822265625
7,3,attn_head,0.0029449462890625
7,4,attn_head,-0.00466156005859375
7,5,attn_head,0.0248870849609375
7,6,attn_head,0.006103515625
7,7,attn_head,0.0499725341796875
7,8,attn_head,0.00775146484375
7,9,attn_head,-0.0121917724609375
7,10,attn_head,0.00341033935546875
7,11,attn_head,0.04822540283203125
8,0,attn_head,0.01308441162109375
8,1,attn_head,0.01909637451171875
8,2,attn_head,0.0234527587890625
8,3,attn_head,-0.01432037353515625
8,4,attn_head,0.0050811767578125
8,5,attn_head,-0.03224945068359375
8,6,attn_head,-0.00518798828125
8,7,attn_head,0.0253753662109375
8,8,attn_head,0.00428009033203125
8,9,attn_head,0.021209716796875
8,10,attn_head,-0.0286102294921875
8,11,attn_head,0.02828216552734375
9,0,attn_head,0.0078277587890625
9,1,attn_head,0.0008392333984375
9,2,attn_head,0.0211944580078125
9,3,attn_head,0.008392333984375
9,4,attn_head,-0.00875091552734375
9,5,attn_head,-0.026275634765625
9,6,attn_head,0.00942230224609375
9,7,attn_head,-0.00492095947265625
9,8,attn_head,-0.0111541748046875
9,9,attn_head,0.0182037353515625
9,10,attn_head,-0.022613525390625
9,11,attn_head,-0.0028228759765625
10,0,attn_head,0.0018157958984375
10,1,attn_head,0.01819610595703125
10,2,attn_head,0.0170135498046875
10,3,attn_head,0.0249176025390625
10,4,attn_head,-0.03047943115234375
10,5,attn_head,-0.03414154052734375
10,6,attn_head,0.00820159912109375
10,7,attn_head,-0.00395965576171875
10,8,attn_head,-0.01264190673828125
10,9,attn_head,-0.008270263671875
10,10,attn_head,0.0121612548828125
10,11,attn_head,-0.0178985595703125
11,0,attn_head,0.0234832763671875
11,1,attn_head,0.02127838134765625
11,2,attn_head,0.00899505615234375
11,3,attn_head,0.03302764892578125
11,4,attn_head,0.00183868408203125
11,5,attn_head,-0.00189208984375
11,6,attn_head,-0.0173492431640625
11,7,attn_head,0.01068878173828125
11,8,attn_head,0.00568389892578125
11,9,attn_head,0.026336669921875
11,10,attn_head,0.03206634521484375
11,11,attn_head,0.01766204833984375
0,-1,mlp,0.12949371337890625
1,-1,mlp,0.04135894775390625
2,-1,mlp,-0.0794525146484375
3,-1,mlp,0.0045318603515625
4,-1,mlp,0.32826995849609375
5,-1,mlp,0.12178802490234375
6,-1,mlp,0.20680999755859375
7,-1,mlp,0.02497100830078125
8,-1,mlp,0.10073089599609375
9,-1,mlp,0.03081512451171875
10,-1,mlp,0.04055023193359375
11,-1,mlp,0.078369140625
