layer,head,type,effect
0,0,attn_head,0.01953125
0,1,attn_head,0.0078125
0,2,attn_head,0.0078125
0,3,attn_head,-0.00390625
0,4,attn_head,-0.015625
0,5,attn_head,-0.0078125
0,6,attn_head,0.0078125
0,7,attn_head,-0.0078125
0,8,attn_head,-0.0078125
0,9,attn_head,-0.015625
0,10,attn_head,-0.01171875
0,11,attn_head,-0.00390625
0,12,attn_head,-0.00390625
0,13,attn_head,-0.00390625
0,14,attn_head,-0.00390625
0,15,attn_head,-0.0078125
0,16,attn_head,-0.01171875
0,17,attn_head,-0.01171875
0,18,attn_head,0.0
0,19,attn_head,0.00390625
0,20,attn_head,-0.0078125
0,21,attn_head,-0.01953125
0,22,attn_head,0.00390625
0,23,attn_head,-0.00390625
0,24,attn_head,0.0078125
0,25,attn_head,0.0078125
0,26,attn_head,0.0078125
0,27,attn_head,-0.00390625
0,28,attn_head,-0.00390625
0,29,attn_head,0.0
0,30,attn_head,0.0
0,31,attn_head,0.01171875
0,32,attn_head,0.0078125
0,33,attn_head,-0.01171875
0,34,attn_head,0.0
0,35,attn_head,-0.01171875
0,36,attn_head,-0.00390625
0,37,attn_head,-0.015625
0,38,attn_head,0.015625
0,39,attn_head,-0.00390625
1,0,attn_head,0.0078125
1,1,attn_head,-0.01171875
1,2,attn_head,0.00390625
1,3,attn_head,-0.0078125
1,4,attn_head,0.0
1,5,attn_head,-0.01953125
1,6,attn_head,0.0078125
1,7,attn_head,-0.015625
1,8,attn_head,0.00390625
1,9,attn_head,0.01953125
1,10,attn_head,-0.00390625
1,11,attn_head,-0.0078125
1,12,attn_head,-0.01953125
1,13,attn_head,-0.0078125
1,14,attn_head,0.00390625
1,15,attn_head,0.00390625
1,16,attn_head,0.0
1,17,attn_head,-0.01171875
1,18,attn_head,-0.0078125
1,19,attn_head,0.0
1,20,attn_head,-0.015625
1,21,attn_head,0.00390625
1,22,attn_head,-0.0234375
1,23,attn_head,-0.00390625
1,24,attn_head,-0.015625
1,25,attn_head,-0.0078125
1,26,attn_head,0.0234375
1,27,attn_head,0.02734375
1,28,attn_head,-0.015625
1,29,attn_head,-0.00390625
1,30,attn_head,0.01171875
1,31,attn_head,0.01171875
1,32,attn_head,0.00390625
1,33,attn_head,0.015625
1,34,attn_head,-0.01171875
1,35,attn_head,-0.0078125
1,36,attn_head,0.0
1,37,attn_head,-0.0234375
1,38,attn_head,-0.00390625
1,39,attn_head,-0.01953125
2,0,attn_head,-0.02734375
2,1,attn_head,-0.01171875
2,2,attn_head,0.00390625
2,3,attn_head,0.0078125
2,4,attn_head,-0.01171875
2,5,attn_head,0.00390625
2,6,attn_head,-0.00390625
2,7,attn_head,0.0234375
2,8,attn_head,0.00390625
2,9,attn_head,0.0078125
2,10,attn_head,0.015625
2,11,attn_head,0.0078125
2,12,attn_head,-0.00390625
2,13,attn_head,0.0
2,14,attn_head,0.0
2,15,attn_head,0.0078125
2,16,attn_head,-0.015625
2,17,attn_head,-0.00390625
2,18,attn_head,0.01171875
2,19,attn_head,0.015625
2,20,attn_head,0.0
2,21,attn_head,-0.0234375
2,22,attn_head,0.0
2,23,attn_head,0.01953125
2,24,attn_head,0.01171875
2,25,attn_head,-0.0078125
2,26,attn_head,-0.01171875
2,27,attn_head,0.0078125
2,28,attn_head,-0.015625
2,29,attn_head,-0.015625
2,30,attn_head,-0.00390625
2,31,attn_head,0.0078125
2,32,attn_head,0.0234375
2,33,attn_head,-0.01171875
2,34,attn_head,0.0078125
2,35,attn_head,0.0078125
2,36,attn_head,-0.0078125
2,37,attn_head,0.01953125
2,38,attn_head,0.0078125
2,39,attn_head,0.00390625
3,0,attn_head,0.01171875
3,1,attn_head,-0.01171875
3,2,attn_head,0.01171875
3,3,attn_head,-0.0078125
3,4,attn_head,-0.03125
3,5,attn_head,-0.0078125
3,6,attn_head,0.015625
3,7,attn_head,0.0
3,8,attn_head,0.0234375
3,9,attn_head,0.0078125
3,10,attn_head,0.0
3,11,attn_head,0.03125
3,12,attn_head,-0.0078125
3,13,attn_head,-0.01171875
3,14,attn_head,-0.01953125
3,15,attn_head,0.015625
