layer,head,type,effect
0,0,attn_head,-0.0012277603149414063
0,1,attn_head,0.029183387756347656
0,2,attn_head,0.0008028984069824219
0,3,attn_head,0.014104938507080078
0,4,attn_head,0.015814971923828126
0,5,attn_head,-0.006309795379638672
0,6,attn_head,-0.024997806549072264
0,7,attn_head,0.030461215972900392
0,8,attn_head,0.010513973236083985
0,9,attn_head,-0.008590030670166015
0,10,attn_head,0.009465599060058593
0,11,attn_head,-0.021767807006835938
1,0,attn_head,-0.004890060424804688
1,1,attn_head,0.005564594268798828
1,2,attn_head,0.004348659515380859
1,3,attn_head,0.006233119964599609
1,4,attn_head,-0.006701755523681641
1,5,attn_head,-0.004073333740234375
1,6,attn_head,0.011224079132080077
1,7,attn_head,0.008998298645019531
1,8,attn_head,-0.0005488395690917969
1,9,attn_head,-0.0012285232543945313
1,10,attn_head,-0.002856731414794922
1,11,attn_head,-0.004926872253417969
2,0,attn_head,-0.011795616149902344
2,1,attn_head,0.0008761405944824219
2,2,attn_head,0.002098560333251953
2,3,attn_head,0.0075897216796875
2,4,attn_head,-0.013085365295410156
2,5,attn_head,-0.014726543426513672
2,6,attn_head,0.0021933555603027345
2,7,attn_head,-0.013175010681152344
2,8,attn_head,-0.001096820831298828
2,9,attn_head,-0.007208633422851563
2,10,attn_head,0.002274322509765625
2,11,attn_head,-0.01196737289428711
3,0,attn_head,-0.023715686798095704
3,1,attn_head,-0.024399280548095703
3,2,attn_head,-0.000218963623046875
3,3,attn_head,0.004161643981933594
3,4,attn_head,-0.010584068298339844
3,5,attn_head,-0.005249691009521484
3,6,attn_head,0.003058338165283203
3,7,attn_head,-0.024914646148681642
3,8,attn_head,-0.012989330291748046
3,9,attn_head,0.015279674530029297
3,10,attn_head,-0.0031528472900390625
3,11,attn_head,-0.013794612884521485
4,0,attn_head,-0.020476245880126955
4,1,attn_head,-0.008159542083740234
4,2,attn_head,-0.0051249504089355465
4,3,attn_head,0.003215980529785156
4,4,attn_head,-0.014236545562744141
4,5,attn_head,-0.015332889556884766
4,6,attn_head,-0.012489128112792968
4,7,attn_head,0.00477132797241211
4,8,attn_head,-0.03184576034545898
4,9,attn_head,-0.009032058715820312
4,10,attn_head,-0.011380290985107422
4,11,attn_head,-0.013360118865966797
5,0,attn_head,-0.030801963806152344
5,1,attn_head,0.005387592315673828
5,2,attn_head,-0.013294124603271484
5,3,attn_head,0.007331752777099609
5,4,attn_head,-0.01957712173461914
5,5,attn_head,0.008886241912841797
5,6,attn_head,0.024822998046875
5,7,attn_head,-0.027531242370605467
5,8,attn_head,-0.039542102813720705
5,9,attn_head,-0.000609588623046875
5,10,attn_head,-0.03185701370239258
5,11,attn_head,-0.017333602905273436
6,0,attn_head,-0.024709033966064452
6,1,attn_head,-0.02913942337036133
6,2,attn_head,-0.01683320999145508
6,3,attn_head,-0.0092742919921875
6,4,attn_head,-0.027560997009277343
6,5,attn_head,-0.00872631072998047
6,6,attn_head,-0.019364452362060545
6,7,attn_head,0.0002751350402832031
6,8,attn_head,-0.037926769256591795
6,9,attn_head,-0.020325756072998045
6,10,attn_head,-0.04403209686279297
6,11,attn_head,-0.03450508117675781
7,0,attn_head,-0.050566482543945315
7,1,attn_head,-0.015268993377685548
7,2,attn_head,-0.03399572372436523
7,3,attn_head,-0.024775123596191405
7,4,attn_head,0.008380794525146484
7,5,attn_head,-0.027989959716796874
7,6,attn_head,-0.03061189651489258
7,7,attn_head,-0.023824405670166016
7,8,attn_head,-0.014912986755371093
7,9,attn_head,-0.037383651733398436
7,10,attn_head,-0.05659046173095703
7,11,attn_head,-0.0048653602600097655
8,0,attn_head,0.006233024597167969
8,1,attn_head,0.006608390808105468
8,2,attn_head,-0.031171607971191406
8,3,attn_head,-0.009035682678222657
8,4,attn_head,-0.032797622680664065
8,5,attn_head,-0.00019102096557617189
8,6,attn_head,-0.01777639389038086
8,7,attn_head,-0.005800724029541016
8,8,attn_head,-0.009214687347412109
8,9,attn_head,0.00013551712036132812
8,10,attn_head,0.0013214111328125
8,11,attn_head,-0.03383579254150391
9,0,attn_head,-0.04599714279174805
9,1,attn_head,-0.006931495666503906
9,2,attn_head,-0.04794530868530274
9,3,attn_head,-0.02662315368652344
9,4,attn_head,-0.009869956970214843
9,5,attn_head,-0.023670291900634764
9,6,attn_head,0.006606578826904297
9,7,attn_head,-0.003513050079345703
9,8,attn_head,0.00024080276489257812
9,9,attn_head,-0.028906822204589844
9,10,attn_head,0.0006333351135253906
9,11,attn_head,-0.01749277114868164
10,0,attn_head,-0.006476783752441406
10,1,attn_head,-0.0011522293090820313
10,2,attn_head,-0.0019622802734375
10,3,attn_head,0.01260061264038086
10,4,attn_head,0.021840381622314452
10,5,attn_head,0.011507034301757812
10,6,attn_head,-0.005408859252929688
10,7,attn_head,-0.005792236328125
10,8,attn_head,0.002190685272216797
10,9,attn_head,0.002785396575927734
10,10,attn_head,-0.0031198501586914063
10,11,attn_head,-0.0035547256469726563
11,0,attn_head,0.01603240966796875
11,1,attn_head,-0.005371379852294922
11,2,attn_head,-0.0033308029174804687
11,3,attn_head,0.005400466918945313
11,4,attn_head,0.005148983001708985
11,5,attn_head,-0.004135513305664062
11,6,attn_head,-0.00780191421508789
11,7,attn_head,0.002656364440917969
11,8,attn_head,-0.0007806777954101563
11,9,attn_head,0.0022332191467285155
11,10,attn_head,-0.005816936492919922
11,11,attn_head,-0.003076648712158203
0,-1,mlp,-0.7100362777709961
1,-1,mlp,-0.10353288650512696
2,-1,mlp,-0.05885305404663086
3,-1,mlp,0.09854211807250976
4,-1,mlp,0.13345632553100586
5,-1,mlp,-0.20390825271606444
6,-1,mlp,-0.02196340560913086
7,-1,mlp,0.023891258239746093
8,-1,mlp,-0.15696077346801757
9,-1,mlp,-0.09166126251220703
10,-1,mlp,-0.2554009437561035
11,-1,mlp,-0.18015642166137696
