layer,head,type,effect
0,0,attn_head,-0.0037967681884765623
0,1,attn_head,-0.0063152313232421875
0,2,attn_head,-0.002841949462890625
0,3,attn_head,-0.007166290283203125
0,4,attn_head,-0.004927825927734375
0,5,attn_head,-0.00404052734375
0,6,attn_head,-0.009283447265625
0,7,attn_head,0.001114654541015625
0,8,attn_head,-0.001889801025390625
0,9,attn_head,-0.01060638427734375
0,10,attn_head,-0.01556243896484375
0,11,attn_head,-0.012400436401367187
1,0,attn_head,0.000511932373046875
1,1,attn_head,0.00235748291015625
1,2,attn_head,-0.001053619384765625
1,3,attn_head,-0.0019657135009765623
1,4,attn_head,0.005089950561523437
1,5,attn_head,0.006266403198242188
1,6,attn_head,0.0028003692626953126
1,7,attn_head,-0.00384521484375
1,8,attn_head,0.0015163421630859375
1,9,attn_head,0.008303070068359375
1,10,attn_head,0.005230712890625
1,11,attn_head,0.010835647583007812
2,0,attn_head,-0.009061050415039063
2,1,attn_head,-0.007021331787109375
2,2,attn_head,0.0017536163330078125
2,3,attn_head,0.0020732879638671875
2,4,attn_head,-0.000205230712890625
2,5,attn_head,0.0003734588623046875
2,6,attn_head,0.006012344360351562
2,7,attn_head,-0.00654144287109375
2,8,attn_head,-0.009967041015625
2,9,attn_head,-0.009920883178710937
2,10,attn_head,-0.01378936767578125
2,11,attn_head,-0.007236862182617187
3,0,attn_head,0.013204193115234375
3,1,attn_head,0.0031070709228515625
3,2,attn_head,-0.00229034423828125
3,3,attn_head,-0.00396575927734375
3,4,attn_head,0.006563949584960938
3,5,attn_head,0.006427383422851563
3,6,attn_head,0.008099365234375
3,7,attn_head,-0.00380859375
3,8,attn_head,-0.013108062744140624
3,9,attn_head,0.00132598876953125
3,10,attn_head,-0.00116729736328125
3,11,attn_head,0.0088775634765625
4,0,attn_head,-0.008269119262695312
4,1,attn_head,0.0036712646484375
4,2,attn_head,-0.008312606811523437
4,3,attn_head,0.0001739501953125
4,4,attn_head,0.00167236328125
4,5,attn_head,0.007372283935546875
4,6,attn_head,-0.006299209594726562
4,7,attn_head,-0.029304885864257814
4,8,attn_head,0.0003971099853515625
4,9,attn_head,-0.004359054565429688
4,10,attn_head,-0.003211212158203125
4,11,attn_head,-0.0124603271484375
5,0,attn_head,-0.027054214477539064
5,1,attn_head,-0.0071697235107421875
5,2,attn_head,-0.011877822875976562
5,3,attn_head,-0.006571578979492188
5,4,attn_head,-0.029397201538085938
5,5,attn_head,0.00636444091796875
5,6,attn_head,-0.03518218994140625
5,7,attn_head,-0.008848190307617188
5,8,attn_head,-0.026366806030273436
5,9,attn_head,-0.0007167816162109375
5,10,attn_head,-0.00400390625
5,11,attn_head,-0.024947357177734376
6,0,attn_head,-0.00691070556640625
6,1,attn_head,-0.009527206420898438
6,2,attn_head,0.010179519653320312
6,3,attn_head,-0.014404678344726562
6,4,attn_head,0.013099288940429688
6,5,attn_head,-0.003046417236328125
6,6,attn_head,0.008880233764648438
6,7,attn_head,-0.012209320068359375
6,8,attn_head,-0.007593536376953125
6,9,attn_head,-0.00169525146484375
6,10,attn_head,0.0077301025390625
6,11,attn_head,-0.006888198852539063
7,0,attn_head,-0.027447509765625
7,1,attn_head,-0.014893341064453124
7,2,attn_head,-0.006682586669921875
7,3,attn_head,-0.005724334716796875
7,4,attn_head,-0.008176040649414063
7,5,attn_head,-0.011987686157226562
7,6,attn_head,-0.0238250732421875
7,7,attn_head,-0.009952926635742187
7,8,attn_head,0.001970672607421875
7,9,attn_head,-0.0013195037841796874
7,10,attn_head,-0.014002227783203125
7,11,attn_head,-0.0038700103759765625
8,0,attn_head,-0.019286727905273436
8,1,attn_head,-0.00540008544921875
8,2,attn_head,-0.006439590454101562
8,3,attn_head,-0.010114669799804688
8,4,attn_head,-0.01749839782714844
8,5,attn_head,-0.0029293060302734374
8,6,attn_head,-0.014072418212890625
8,7,attn_head,0.0001338958740234375
8,8,attn_head,-0.020727157592773438
8,9,attn_head,-0.007213211059570313
8,10,attn_head,-0.0012725830078125
8,11,attn_head,-0.011651611328125
9,0,attn_head,-0.014274215698242188
9,1,attn_head,0.00826263427734375
9,2,attn_head,0.005910491943359375
9,3,attn_head,-0.0025211334228515624
9,4,attn_head,0.003800201416015625
9,5,attn_head,-0.007433700561523438
9,6,attn_head,-0.0065937042236328125
9,7,attn_head,-0.01290130615234375
9,8,attn_head,9.6893310546875e-05
9,9,attn_head,-0.013671493530273438
9,10,attn_head,0.022497940063476562
9,11,attn_head,-0.018788528442382813
10,0,attn_head,0.0026458740234375
10,1,attn_head,0.003911209106445312
10,2,attn_head,-0.005513381958007812
10,3,attn_head,-0.010551071166992188
10,4,attn_head,-0.010892486572265625
10,5,attn_head,-0.010364532470703125
10,6,attn_head,-0.00771331787109375
10,7,attn_head,-0.012704849243164062
10,8,attn_head,-0.014913177490234375
10,9,attn_head,0.013988113403320313
10,10,attn_head,-0.0019985198974609374
10,11,attn_head,-0.00808868408203125
11,0,attn_head,0.005161666870117187
11,1,attn_head,-0.005178070068359375
11,2,attn_head,-0.013917922973632812
11,3,attn_head,-0.00132598876953125
11,4,attn_head,-0.00298309326171875
11,5,attn_head,0.01718292236328125
11,6,attn_head,-0.009963607788085938
11,7,attn_head,-0.0011470794677734375
11,8,attn_head,-0.01320037841796875
11,9,attn_head,0.009786224365234375
11,10,attn_head,-0.006783294677734375
11,11,attn_head,-0.009575653076171874
0,-1,mlp,-0.448040771484375
1,-1,mlp,-0.23349990844726562
2,-1,mlp,-0.05028877258300781
3,-1,mlp,-0.03475685119628906
4,-1,mlp,0.07046089172363282
5,-1,mlp,0.03199310302734375
6,-1,mlp,0.015648269653320314
7,-1,mlp,0.048215484619140624
8,-1,mlp,0.0030055999755859374
9,-1,mlp,0.013916969299316406
10,-1,mlp,-0.02698097229003906
11,-1,mlp,-0.00305633544921875
