layer,head,type,effect
0,0,attn_head,0.010009765625
0,1,attn_head,0.028271484375
0,2,attn_head,-0.0248046875
0,3,attn_head,-0.02177734375
0,4,attn_head,-0.02255859375
0,5,attn_head,0.02841796875
0,6,attn_head,0.078515625
0,7,attn_head,0.070068359375
0,8,attn_head,0.045556640625
0,9,attn_head,-0.03974609375
0,10,attn_head,0.05771484375
0,11,attn_head,0.031005859375
0,12,attn_head,0.05537109375
0,13,attn_head,0.0388671875
0,14,attn_head,-0.0267578125
0,15,attn_head,0.008984375
1,0,attn_head,-0.034228515625
1,1,attn_head,-0.00517578125
1,2,attn_head,-0.037158203125
1,3,attn_head,0.01650390625
1,4,attn_head,-0.039404296875
1,5,attn_head,0.009765625
1,6,attn_head,-0.00595703125
1,7,attn_head,-0.04560546875
1,8,attn_head,-0.019384765625
1,9,attn_head,-0.011865234375
1,10,attn_head,-0.02421875
1,11,attn_head,-0.05107421875
1,12,attn_head,-0.01875
1,13,attn_head,-0.02138671875
1,14,attn_head,-0.0146484375
1,15,attn_head,-0.020654296875
2,0,attn_head,-0.01689453125
2,1,attn_head,0.00234375
2,2,attn_head,0.02421875
2,3,attn_head,0.039794921875
2,4,attn_head,-0.01396484375
2,5,attn_head,0.02216796875
2,6,attn_head,0.028125
2,7,attn_head,0.006640625
2,8,attn_head,-0.0408203125
2,9,attn_head,-0.00771484375
2,10,attn_head,-0.00654296875
2,11,attn_head,0.01806640625
2,12,attn_head,0.0083984375
2,13,attn_head,0.009423828125
2,14,attn_head,0.00185546875
2,15,attn_head,-0.0037109375
3,0,attn_head,-0.02978515625
3,1,attn_head,-0.048681640625
3,2,attn_head,-0.0466796875
3,3,attn_head,-0.087255859375
3,4,attn_head,-0.02236328125
3,5,attn_head,-0.072998046875
3,6,attn_head,-0.0044921875
3,7,attn_head,-0.01728515625
3,8,attn_head,-0.04931640625
3,9,attn_head,-0.07470703125
3,10,attn_head,-0.058203125
3,11,attn_head,-0.0513671875
3,12,attn_head,-0.006103515625
3,13,attn_head,-0.00830078125
3,14,attn_head,-0.084765625
3,15,attn_head,-0.05986328125
4,0,attn_head,0.0205078125
4,1,attn_head,-0.001025390625
4,2,attn_head,-0.0107421875
4,3,attn_head,-0.029248046875
4,4,attn_head,0.009814453125
4,5,attn_head,-0.000830078125
4,6,attn_head,-0.0203125
4,7,attn_head,-0.038037109375
4,8,attn_head,-0.017236328125
4,9,attn_head,-0.029296875
4,10,attn_head,-0.03701171875
4,11,attn_head,-0.005859375
4,12,attn_head,-0.00673828125
4,13,attn_head,-0.01279296875
4,14,attn_head,0.01337890625
4,15,attn_head,-0.023193359375
5,0,attn_head,0.00107421875
5,1,attn_head,0.01826171875
5,2,attn_head,-0.017822265625
5,3,attn_head,-0.030029296875
5,4,attn_head,-0.0265625
5,5,attn_head,-0.009619140625
5,6,attn_head,-0.004345703125
5,7,attn_head,0.00419921875
5,8,attn_head,0.020068359375
5,9,attn_head,-0.016015625
5,10,attn_head,-0.010888671875
5,11,attn_head,-0.02236328125
5,12,attn_head,-0.002392578125
5,13,attn_head,0.00048828125
5,14,attn_head,0.031884765625
5,15,attn_head,0.0013671875
6,0,attn_head,-0.00078125
6,1,attn_head,0.00654296875
6,2,attn_head,0.001806640625
6,3,attn_head,-0.02958984375
6,4,attn_head,0.01865234375
6,5,attn_head,0.017041015625
6,6,attn_head,-0.003857421875
6,7,attn_head,0.031005859375
6,8,attn_head,0.014892578125
6,9,attn_head,0.01943359375
6,10,attn_head,-0.012158203125
6,11,attn_head,-0.019970703125
6,12,attn_head,0.00859375
6,13,attn_head,0.01142578125
6,14,attn_head,0.02099609375
6,15,attn_head,0.000830078125
7,0,attn_head,-0.01083984375
7,1,attn_head,0.003955078125
7,2,attn_head,0.012109375
7,3,attn_head,0.023974609375
7,4,attn_head,-0.0291015625
7,5,attn_head,0.010546875
7,6,attn_head,-0.00654296875
7,7,attn_head,-9.765625e-05
7,8,attn_head,0.0001953125
7,9,attn_head,-0.01181640625
7,10,attn_head,-0.01123046875
7,11,attn_head,-0.01767578125
7,12,attn_head,-0.010888671875
7,13,attn_head,-0.01162109375
7,14,attn_head,0.006298828125
7,15,attn_head,0.022607421875
8,0,attn_head,-0.044970703125
8,1,attn_head,0.016845703125
8,2,attn_head,0.01650390625
8,3,attn_head,0.066064453125
8,4,attn_head,-0.014501953125
8,5,attn_head,0.042236328125
8,6,attn_head,-0.0431640625
8,7,attn_head,-0.037451171875
8,8,attn_head,-0.005810546875
8,9,attn_head,0.0728515625
8,10,attn_head,0.03466796875
8,11,attn_head,0.0037109375
8,12,attn_head,0.019921875
8,13,attn_head,-0.00908203125
8,14,attn_head,-0.00390625
8,15,attn_head,-0.04423828125
9,0,attn_head,0.002734375
9,1,attn_head,0.01416015625
9,2,attn_head,-0.038525390625
9,3,attn_head,0.0052734375
9,4,attn_head,-0.002978515625
9,5,attn_head,-0.01708984375
9,6,attn_head,0.017138671875
9,7,attn_head,0.001953125
9,8,attn_head,0.029345703125
9,9,attn_head,-0.049365234375
9,10,attn_head,-0.0279296875
9,11,attn_head,-0.0103515625
9,12,attn_head,-0.003857421875
9,13,attn_head,-0.0068359375
9,14,attn_head,-0.00849609375
9,15,attn_head,-0.00224609375
10,0,attn_head,0.0107421875
10,1,attn_head,-0.026513671875
10,2,attn_head,-0.016162109375
10,3,attn_head,0.00185546875
10,4,attn_head,0.0001953125
10,5,attn_head,-0.041552734375
10,6,attn_head,-0.0134765625
10,7,attn_head,-0.01103515625
10,8,attn_head,0.006982421875
10,9,attn_head,-0.033447265625
10,10,attn_head,-0.003662109375
10,11,attn_head,-0.02490234375
10,12,attn_head,-0.017236328125
10,13,attn_head,-0.0056640625
10,14,attn_head,-0.029931640625
10,15,attn_head,-0.0392578125
11,0,attn_head,0.05078125
11,1,attn_head,0.004443359375
11,2,attn_head,0.01142578125
11,3,attn_head,0.008154296875
11,4,attn_head,0.014501953125
11,5,attn_head,-0.00751953125
11,6,attn_head,0.0095703125
11,7,attn_head,-0.00712890625
11,8,attn_head,0.018310546875
11,9,attn_head,-0.01669921875
11,10,attn_head,0.03759765625
11,11,attn_head,-0.013720703125
