layer,head,type,effect
0,0,attn_head,0.0005859375
0,1,attn_head,-0.0375
0,2,attn_head,-0.0126953125
0,3,attn_head,-0.00859375
0,4,attn_head,-0.0255859375
0,5,attn_head,0.004296875
0,6,attn_head,0.03203125
0,7,attn_head,-0.026953125
0,8,attn_head,-0.003515625
0,9,attn_head,0.021875
0,10,attn_head,0.0048828125
0,11,attn_head,-0.0205078125
0,12,attn_head,-0.00078125
0,13,attn_head,-0.041015625
0,14,attn_head,-0.0185546875
0,15,attn_head,0.0005859375
1,0,attn_head,-0.0052734375
1,1,attn_head,-0.0060546875
1,2,attn_head,-0.0326171875
1,3,attn_head,0.0162109375
1,4,attn_head,-0.008203125
1,5,attn_head,0.01171875
1,6,attn_head,-0.0240234375
1,7,attn_head,0.0162109375
1,8,attn_head,-0.0103515625
1,9,attn_head,-0.0140625
1,10,attn_head,-0.024609375
1,11,attn_head,-0.013671875
1,12,attn_head,-0.0115234375
1,13,attn_head,-0.008203125
1,14,attn_head,0.000390625
1,15,attn_head,-0.001171875
2,0,attn_head,-0.0119140625
2,1,attn_head,0.0056640625
2,2,attn_head,-0.0232421875
2,3,attn_head,0.0033203125
2,4,attn_head,0.01328125
2,5,attn_head,0.0087890625
2,6,attn_head,-0.0087890625
2,7,attn_head,0.001171875
2,8,attn_head,0.02265625
2,9,attn_head,0.02109375
2,10,attn_head,-0.0123046875
2,11,attn_head,0.0353515625
2,12,attn_head,-0.000390625
2,13,attn_head,-0.00390625
2,14,attn_head,0.03515625
2,15,attn_head,0.013671875
3,0,attn_head,-0.011328125
3,1,attn_head,-0.0517578125
3,2,attn_head,-0.074609375
3,3,attn_head,-0.05078125
3,4,attn_head,-0.028125
3,5,attn_head,-0.078125
3,6,attn_head,-0.03046875
3,7,attn_head,-0.054296875
3,8,attn_head,-0.055078125
3,9,attn_head,-0.0412109375
3,10,attn_head,-0.062890625
3,11,attn_head,-0.022265625
3,12,attn_head,-0.05234375
3,13,attn_head,-0.047265625
3,14,attn_head,-0.098828125
3,15,attn_head,-0.0140625
4,0,attn_head,0.002734375
4,1,attn_head,-0.0208984375
4,2,attn_head,-0.0255859375
4,3,attn_head,-0.0013671875
4,4,attn_head,-0.024609375
4,5,attn_head,-0.005859375
4,6,attn_head,0.0099609375
4,7,attn_head,-0.002734375
4,8,attn_head,-0.0140625
4,9,attn_head,-0.0251953125
4,10,attn_head,-0.0228515625
4,11,attn_head,-0.03984375
4,12,attn_head,-0.0119140625
4,13,attn_head,0.00234375
4,14,attn_head,-0.0119140625
4,15,attn_head,-0.0279296875
5,0,attn_head,0.003515625
5,1,attn_head,-0.0111328125
5,2,attn_head,0.0046875
5,3,attn_head,-0.034765625
5,4,attn_head,-0.0294921875
5,5,attn_head,0.005078125
5,6,attn_head,-0.0197265625
5,7,attn_head,-0.023046875
5,8,attn_head,-0.0146484375
5,9,attn_head,0.0287109375
5,10,attn_head,-0.021484375
5,11,attn_head,-0.0216796875
5,12,attn_head,-0.010546875
5,13,attn_head,-0.0220703125
5,14,attn_head,-0.000390625
5,15,attn_head,-0.010546875
6,0,attn_head,-0.0041015625
6,1,attn_head,0.001171875
6,2,attn_head,-0.0013671875
6,3,attn_head,-0.0248046875
6,4,attn_head,0.0083984375
6,5,attn_head,-0.0091796875
6,6,attn_head,-0.0322265625
6,7,attn_head,-0.008984375
6,8,attn_head,0.0099609375
6,9,attn_head,0.0103515625
6,10,attn_head,-0.02421875
6,11,attn_head,-0.026171875
6,12,attn_head,0.0056640625
6,13,attn_head,-0.001171875
6,14,attn_head,-0.0119140625
6,15,attn_head,-0.019921875
7,0,attn_head,-0.0291015625
7,1,attn_head,-0.026953125
7,2,attn_head,-0.008203125
7,3,attn_head,0.0029296875
7,4,attn_head,-0.0138671875
7,5,attn_head,-0.009375
7,6,attn_head,-0.023828125
7,7,attn_head,0.027734375
7,8,attn_head,-0.001953125
7,9,attn_head,-0.034375
7,10,attn_head,-0.005859375
7,11,attn_head,-0.012109375
7,12,attn_head,0.021875
7,13,attn_head,-0.0068359375
7,14,attn_head,0.0052734375
7,15,attn_head,-0.0197265625
8,0,attn_head,-0.03046875
8,1,attn_head,-0.0455078125
8,2,attn_head,-0.080859375
8,3,attn_head,-0.0443359375
8,4,attn_head,-0.0421875
8,5,attn_head,-0.0462890625
8,6,attn_head,-0.025
8,7,attn_head,-0.046875
8,8,attn_head,-0.043359375
8,9,attn_head,-0.0484375
8,10,attn_head,-0.0408203125
8,11,attn_head,-0.0517578125
8,12,attn_head,-0.0236328125
8,13,attn_head,-0.02890625
8,14,attn_head,-0.031640625
8,15,attn_head,-0.0458984375
9,0,attn_head,-0.00703125
9,1,attn_head,-0.0033203125
9,2,attn_head,-0.0201171875
9,3,attn_head,-0.0025390625
9,4,attn_head,0.0048828125
9,5,attn_head,-0.026953125
9,6,attn_head,0.00703125
9,7,attn_head,-0.012109375
9,8,attn_head,-0.00546875
9,9,attn_head,-0.0166015625
9,10,attn_head,-0.0265625
9,11,attn_head,-0.014453125
9,12,attn_head,-0.03515625
9,13,attn_head,-0.027734375
9,14,attn_head,-0.0060546875
9,15,attn_head,-0.0087890625
10,0,attn_head,-0.0009765625
10,1,attn_head,0.01171875
10,2,attn_head,-0.0111328125
10,3,attn_head,0.015625
10,4,attn_head,-0.0142578125
10,5,attn_head,-0.0142578125
10,6,attn_head,0.0025390625
10,7,attn_head,-0.0013671875
10,8,attn_head,-0.0154296875
10,9,attn_head,-0.001171875
10,10,attn_head,0.0041015625
10,11,attn_head,-0.0021484375
10,12,attn_head,0.0017578125
10,13,attn_head,0.003515625
10,14,attn_head,-0.006640625
10,15,attn_head,-0.0123046875
11,0,attn_head,-0.0310546875
11,1,attn_head,-0.0056640625
11,2,attn_head,0.01484375
11,3,attn_head,-0.018359375
11,4,attn_head,-0.017578125
11,5,attn_head,-0.0203125
11,6,attn_head,0.0044921875
11,7,attn_head,-0.0345703125
11,8,attn_head,-0.00078125
11,9,attn_head,-0.0021484375
11,10,attn_head,-0.016015625
11,11,attn_head,-0.0091796875
11,12,attn_head,0.00859375
11,13,attn_head,-0.0197265625
11,14,attn_head,-0.0056640625
11,15,attn_head,-0.021484375
12,0,attn_head,-0.01953125
12,1,attn_head,-0.0095703125
12,2,attn_head,-0.009375
12,3,attn_head,-0.0373046875
12,4,attn_head,-0.0248046875
12,5,attn_head,-0.024609375
12,6,attn_head,-0.0259765625
12,7,attn_head,-0.0333984375
12,8,attn_head,-0.0271484375
12,9,attn_head,-0.0416015625
12,10,attn_head,-0.0271484375
12,11,attn_head,-0.04453125
12,12,attn_head,-0.023046875
12,13,attn_head,0.0009765625
12,14,attn_head,-0.0337890625
12,15,attn_head,-0.05546875
13,0,attn_head,-0.062109375
13,1,attn_head,-0.0341796875
13,2,attn_head,-0.0611328125
13,3,attn_head,-0.025390625
13,4,attn_head,-0.037109375
13,5,attn_head,-0.0564453125
13,6,attn_head,-0.0359375
13,7,attn_head,-0.04140625
13,8,attn_head,-0.039453125
13,9,attn_head,-0.0453125
13,10,attn_head,-0.0494140625
13,11,attn_head,-0.03984375
13,12,attn_head,-0.0294921875
13,13,attn_head,-0.03515625
13,14,attn_head,-0.042578125
13,15,attn_head,-0.034765625
