layer,head,type,effect
0,0,attn_head,0.0064453125
0,1,attn_head,-0.00244140625
0,2,attn_head,-0.00732421875
0,3,attn_head,0.0
0,4,attn_head,-0.000390625
0,5,attn_head,-0.00126953125
0,6,attn_head,0.00087890625
0,7,attn_head,0.00185546875
0,8,attn_head,-0.003125
0,9,attn_head,-0.00458984375
0,10,attn_head,0.006640625
0,11,attn_head,0.00380859375
0,12,attn_head,-0.005078125
0,13,attn_head,0.0037109375
0,14,attn_head,-0.0021484375
0,15,attn_head,-0.00498046875
0,16,attn_head,0.00078125
0,17,attn_head,0.00283203125
0,18,attn_head,-0.00185546875
0,19,attn_head,-0.00166015625
0,20,attn_head,-0.0005859375
0,21,attn_head,0.00888671875
0,22,attn_head,0.0046875
0,23,attn_head,-0.0041015625
0,24,attn_head,-0.01044921875
0,25,attn_head,0.00078125
0,26,attn_head,-0.0001953125
0,27,attn_head,0.00224609375
0,28,attn_head,-0.00439453125
0,29,attn_head,-0.00107421875
0,30,attn_head,0.001171875
0,31,attn_head,0.001953125
0,32,attn_head,-0.00126953125
0,33,attn_head,0.00859375
0,34,attn_head,-0.0029296875
0,35,attn_head,-0.00048828125
0,36,attn_head,-0.001953125
0,37,attn_head,0.0052734375
0,38,attn_head,-0.00205078125
0,39,attn_head,0.0052734375
1,0,attn_head,-0.01396484375
1,1,attn_head,-0.009375
1,2,attn_head,-0.01123046875
1,3,attn_head,-0.00439453125
1,4,attn_head,-0.01337890625
1,5,attn_head,-0.006640625
1,6,attn_head,-0.00810546875
1,7,attn_head,-0.00400390625
1,8,attn_head,-0.00693359375
1,9,attn_head,0.008203125
1,10,attn_head,-0.00478515625
1,11,attn_head,0.00068359375
1,12,attn_head,-0.016015625
1,13,attn_head,0.00048828125
1,14,attn_head,-0.00341796875
1,15,attn_head,-0.00927734375
1,16,attn_head,0.00048828125
1,17,attn_head,-0.0021484375
1,18,attn_head,-0.0015625
1,19,attn_head,-0.01494140625
1,20,attn_head,-0.00283203125
1,21,attn_head,-0.0087890625
1,22,attn_head,0.00126953125
1,23,attn_head,0.0064453125
1,24,attn_head,-0.003515625
1,25,attn_head,0.00068359375
1,26,attn_head,-9.765625e-05
1,27,attn_head,0.001953125
1,28,attn_head,0.001171875
1,29,attn_head,0.00166015625
1,30,attn_head,0.00087890625
1,31,attn_head,0.00263671875
1,32,attn_head,-0.00126953125
1,33,attn_head,-0.01259765625
1,34,attn_head,-0.0044921875
1,35,attn_head,-0.0017578125
1,36,attn_head,-0.00546875
1,37,attn_head,-0.01181640625
1,38,attn_head,-0.00771484375
