layer,head,type,effect
0,0,attn_head,-0.0017944410443305968
0,1,attn_head,0.000216752290725708
0,2,attn_head,-0.006190454959869385
0,3,attn_head,-0.0055824220180511475
0,4,attn_head,0.003870418667793274
0,5,attn_head,0.0035721614956855776
0,6,attn_head,0.009408007562160491
0,7,attn_head,-0.0024187132716178895
0,8,attn_head,0.025053787231445312
0,9,attn_head,0.007257629930973053
0,10,attn_head,0.000806976854801178
0,11,attn_head,0.014819733798503876
0,12,attn_head,-0.0005110830068588256
0,13,attn_head,0.005696998536586761
0,14,attn_head,-0.0014309406280517579
0,15,attn_head,-0.005507147312164307
0,16,attn_head,0.00735369473695755
0,17,attn_head,-0.0035759806632995605
0,18,attn_head,0.0046761825680732725
0,19,attn_head,0.008398474752902984
0,20,attn_head,0.004966817796230316
0,21,attn_head,-0.0043902724981307985
0,22,attn_head,0.004173347353935241
0,23,attn_head,0.019727002084255218
0,24,attn_head,0.0031543076038360596
0,25,attn_head,-0.0035723522305488586
0,26,attn_head,0.001099461317062378
0,27,attn_head,0.0028110191226005552
0,28,attn_head,0.009323585033416747
0,29,attn_head,-0.0016586005687713623
0,30,attn_head,0.011135713756084442
0,31,attn_head,0.01032620370388031
1,0,attn_head,-0.006273011863231659
1,1,attn_head,-0.00908229947090149
1,2,attn_head,-0.007312639057636261
1,3,attn_head,0.010244418680667878
1,4,attn_head,-0.0013934746384620667
1,5,attn_head,0.0014126807451248168
1,6,attn_head,-0.0008738517761230468
1,7,attn_head,-0.000411321222782135
1,8,attn_head,-0.001203376054763794
1,9,attn_head,-0.003053240478038788
1,10,attn_head,0.00020015835762023925
1,11,attn_head,0.006230583786964417
1,12,attn_head,-0.0017976060509681702
1,13,attn_head,-0.0090325728058815
1,14,attn_head,-0.0047213688492774965
1,15,attn_head,0.0031140431761741637
1,16,attn_head,-0.0065007880330085754
1,17,attn_head,-0.010029293596744537
1,18,attn_head,-0.0014041155576705933
1,19,attn_head,0.009951816499233246
1,20,attn_head,-0.0008138656616210937
1,21,attn_head,-0.00046708583831787107
1,22,attn_head,0.005259180068969726
1,23,attn_head,-0.006190375983715057
1,24,attn_head,-0.005724576115608215
1,25,attn_head,0.0017346739768981934
1,26,attn_head,0.0020814821124076842
1,27,attn_head,-0.004577404260635376
1,28,attn_head,-0.00017096996307373047
1,29,attn_head,0.001230098307132721
1,30,attn_head,0.005018645524978637
1,31,attn_head,0.008576862514019012
2,0,attn_head,-0.0015440821647644044
2,1,attn_head,-0.0015383407473564148
2,2,attn_head,-0.01069057285785675
2,3,attn_head,0.005744262039661408
2,4,attn_head,0.008163858950138093
2,5,attn_head,0.003659364581108093
2,6,attn_head,-0.000949762761592865
2,7,attn_head,-0.0032370880246162413
2,8,attn_head,0.014769922196865081
2,9,attn_head,0.010193081200122833
2,10,attn_head,0.0031559109687805177
2,11,attn_head,-0.006521846354007721
2,12,attn_head,-0.0006776034832000732
2,13,attn_head,-0.00027665048837661744
2,14,attn_head,-0.004043552279472351
2,15,attn_head,0.0019412800669670106
2,16,attn_head,-0.00012456178665161134
2,17,attn_head,-0.008256952464580535
2,18,attn_head,-0.00879065841436386
2,19,attn_head,-0.004383613169193268
2,20,attn_head,-0.0060992598533630375
2,21,attn_head,0.003334866464138031
