layer,head,type,effect
0,0,attn_head,-0.03476905822753906
0,1,attn_head,0.012969017028808594
0,2,attn_head,-0.002385520935058594
0,3,attn_head,0.013806343078613281
0,4,attn_head,-0.0033979415893554688
0,5,attn_head,-0.0007563591003417969
0,6,attn_head,-0.03768463134765625
0,7,attn_head,-0.011534500122070312
0,8,attn_head,-0.02668132781982422
0,9,attn_head,-0.009526824951171875
0,10,attn_head,-0.0109283447265625
0,11,attn_head,0.003169822692871094
1,0,attn_head,-0.004447364807128906
1,1,attn_head,-0.005108642578125
1,2,attn_head,-0.008989906311035157
1,3,attn_head,0.007035636901855468
1,4,attn_head,-0.007816886901855469
1,5,attn_head,0.005753326416015625
1,6,attn_head,-0.0003631591796875
1,7,attn_head,-0.013538551330566407
1,8,attn_head,0.0005924224853515625
1,9,attn_head,-0.0042022705078125
1,10,attn_head,0.004508018493652344
1,11,attn_head,-0.013187408447265625
2,0,attn_head,0.020340156555175782
2,1,attn_head,-0.001801300048828125
2,2,attn_head,0.009199905395507812
2,3,attn_head,-0.00205841064453125
2,4,attn_head,0.0011049270629882812
2,5,attn_head,0.0035352706909179688
2,6,attn_head,0.0032886505126953126
2,7,attn_head,-0.015106964111328124
2,8,attn_head,-0.00190887451171875
2,9,attn_head,-0.00026721954345703124
2,10,attn_head,0.009567070007324218
2,11,attn_head,-0.015645217895507813
3,0,attn_head,-0.002783393859863281
3,1,attn_head,-0.0155120849609375
3,2,attn_head,0.010073661804199219
3,3,attn_head,-0.002400779724121094
3,4,attn_head,0.00582427978515625
3,5,attn_head,0.0111907958984375
3,6,attn_head,-0.006190299987792969
3,7,attn_head,0.0027437210083007812
3,8,attn_head,0.008652305603027344
3,9,attn_head,0.011972999572753907
3,10,attn_head,0.004405784606933594
3,11,attn_head,-0.0141265869140625
4,0,attn_head,0.00829906463623047
4,1,attn_head,-0.0026348114013671877
4,2,attn_head,0.015235137939453126
4,3,attn_head,-0.008656692504882813
4,4,attn_head,0.004141616821289063
4,5,attn_head,0.0010526657104492187
4,6,attn_head,0.0083099365234375
4,7,attn_head,0.015206146240234374
4,8,attn_head,0.01224222183227539
4,9,attn_head,-0.00859375
4,10,attn_head,0.022295188903808594
4,11,attn_head,-0.006211471557617187
5,0,attn_head,-0.017354393005371095
5,1,attn_head,-0.004194068908691406
5,2,attn_head,0.001389312744140625
5,3,attn_head,-0.0078399658203125
5,4,attn_head,-0.009588623046875
5,5,attn_head,0.013736343383789063
5,6,attn_head,-0.0083404541015625
5,7,attn_head,-0.02093658447265625
5,8,attn_head,-5.79833984375e-05
5,9,attn_head,0.0023275375366210937
5,10,attn_head,-0.025605487823486327
5,11,attn_head,-0.017926120758056642
6,0,attn_head,-0.03202667236328125
6,1,attn_head,-0.030914974212646485
6,2,attn_head,-0.02075328826904297
6,3,attn_head,-0.013329696655273438
6,4,attn_head,-0.041810226440429685
6,5,attn_head,0.003841400146484375
6,6,attn_head,-0.0149810791015625
6,7,attn_head,-0.01417713165283203
6,8,attn_head,-0.007112884521484375
6,9,attn_head,-0.02736177444458008
6,10,attn_head,-0.015977859497070312
6,11,attn_head,-0.02355670928955078
7,0,attn_head,-0.05005512237548828
7,1,attn_head,-0.034084510803222653
7,2,attn_head,-0.0490264892578125
7,3,attn_head,-0.04586610794067383
7,4,attn_head,0.0022418975830078127
7,5,attn_head,-0.03555307388305664
7,6,attn_head,-0.04380950927734375
7,7,attn_head,-0.03440723419189453
7,8,attn_head,-0.007315254211425782
7,9,attn_head,-0.05144920349121094
7,10,attn_head,-0.04087562561035156
7,11,attn_head,-0.01667184829711914
8,0,attn_head,-0.013828277587890625
8,1,attn_head,-0.032727813720703124
8,2,attn_head,-0.027206230163574218
8,3,attn_head,-0.033985328674316403
8,4,attn_head,-0.02151908874511719
8,5,attn_head,-0.025857162475585938
8,6,attn_head,-0.02425041198730469
8,7,attn_head,-0.01387176513671875
8,8,attn_head,0.007145309448242187
8,9,attn_head,-0.004674339294433593
8,10,attn_head,-0.007542800903320312
8,11,attn_head,-0.027187156677246093
9,0,attn_head,-0.010089683532714843
9,1,attn_head,0.003860664367675781
9,2,attn_head,-0.023979377746582032
9,3,attn_head,-0.030786895751953126
9,4,attn_head,-0.00028934478759765623
9,5,attn_head,-0.0021465301513671877
9,6,attn_head,0.0082183837890625
9,7,attn_head,-0.013218307495117187
9,8,attn_head,-0.0031499862670898438
9,9,attn_head,-0.010782814025878907
9,10,attn_head,-0.013169097900390624
9,11,attn_head,-0.0057430267333984375
10,0,attn_head,0.0005008697509765625
10,1,attn_head,0.014032363891601562
10,2,attn_head,-0.015317726135253906
10,3,attn_head,0.0034061431884765624
10,4,attn_head,0.006910133361816406
10,5,attn_head,0.014537620544433593
10,6,attn_head,-0.004974937438964844
10,7,attn_head,0.0012117385864257812
10,8,attn_head,0.004523658752441406
10,9,attn_head,-0.00039272308349609376
10,10,attn_head,-0.03924713134765625
10,11,attn_head,0.004475021362304687
11,0,attn_head,-0.004266357421875
11,1,attn_head,0.0009710311889648438
11,2,attn_head,-0.006860542297363281
11,3,attn_head,-0.0038164138793945314
11,4,attn_head,0.0002025604248046875
11,5,attn_head,0.011918258666992188
11,6,attn_head,0.0016997337341308593
11,7,attn_head,0.004642486572265625
11,8,attn_head,-0.00390167236328125
11,9,attn_head,0.0012537002563476562
11,10,attn_head,-0.005513191223144531
11,11,attn_head,0.0029783248901367188
0,-1,mlp,-1.0211194515228272
1,-1,mlp,-0.2676532745361328
2,-1,mlp,-0.03486642837524414
3,-1,mlp,0.1365070343017578
4,-1,mlp,0.06633205413818359
5,-1,mlp,-0.15959606170654297
6,-1,mlp,-0.10376310348510742
7,-1,mlp,-0.0897566795349121
8,-1,mlp,-0.26692352294921873
9,-1,mlp,-0.0875631332397461
10,-1,mlp,-0.220755672454834
11,-1,mlp,-0.17504444122314453
