layer,head,type,effect
0,0,attn_head,0.0001842498779296875
0,1,attn_head,0.01252593994140625
0,2,attn_head,-0.010562896728515625
0,3,attn_head,-0.012960052490234375
0,4,attn_head,0.017173004150390626
0,5,attn_head,-0.005186843872070313
0,6,attn_head,-0.005480575561523438
0,7,attn_head,0.0116851806640625
0,8,attn_head,0.0023120880126953126
0,9,attn_head,0.0005157470703125
0,10,attn_head,0.004890823364257812
0,11,attn_head,0.01030426025390625
1,0,attn_head,0.00673980712890625
1,1,attn_head,-0.006148529052734375
1,2,attn_head,-0.00313262939453125
1,3,attn_head,0.0013736724853515626
1,4,attn_head,-0.002167510986328125
1,5,attn_head,-0.00325469970703125
1,6,attn_head,0.0024379730224609376
1,7,attn_head,0.001142120361328125
1,8,attn_head,-0.00449066162109375
1,9,attn_head,-0.008437728881835938
1,10,attn_head,-0.003963851928710937
1,11,attn_head,-0.0050018310546875
2,0,attn_head,-0.00768280029296875
2,1,attn_head,-0.01316070556640625
2,2,attn_head,0.0036319732666015626
2,3,attn_head,0.010546493530273437
2,4,attn_head,0.004806137084960938
2,5,attn_head,-0.0009273529052734375
2,6,attn_head,0.000759124755859375
2,7,attn_head,-0.004616546630859375
2,8,attn_head,-0.0043548583984375
2,9,attn_head,-0.018503952026367187
2,10,attn_head,-0.006239700317382813
2,11,attn_head,-0.010977554321289062
3,0,attn_head,-0.0072662353515625
3,1,attn_head,-0.001705169677734375
3,2,attn_head,-0.007884597778320313
3,3,attn_head,-0.006644058227539063
3,4,attn_head,-0.007637786865234375
3,5,attn_head,-0.0034290313720703124
3,6,attn_head,0.0017208099365234376
3,7,attn_head,0.000954437255859375
3,8,attn_head,-0.013940811157226562
3,9,attn_head,-0.0015567779541015626
3,10,attn_head,-0.018399429321289063
3,11,attn_head,-0.011302566528320313
4,0,attn_head,-0.00764923095703125
4,1,attn_head,0.007971572875976562
4,2,attn_head,-0.003321075439453125
4,3,attn_head,-0.020963668823242188
4,4,attn_head,-0.013972854614257813
4,5,attn_head,0.0013446807861328125
4,6,attn_head,-0.010503768920898438
4,7,attn_head,-0.006850814819335938
4,8,attn_head,-0.000202178955078125
4,9,attn_head,-0.008452606201171876
4,10,attn_head,-0.0154296875
4,11,attn_head,-0.016524124145507812
5,0,attn_head,-0.013655853271484376
5,1,attn_head,-0.025331878662109376
5,2,attn_head,-0.014177703857421875
5,3,attn_head,-0.010288619995117187
5,4,attn_head,-0.019094467163085938
5,5,attn_head,-0.017888641357421874
5,6,attn_head,-0.015264892578125
5,7,attn_head,-0.018713760375976562
5,8,attn_head,-0.005682754516601563
5,9,attn_head,-0.011209869384765625
5,10,attn_head,-0.03781547546386719
5,11,attn_head,-0.036825942993164065
6,0,attn_head,-0.012559890747070312
6,1,attn_head,-0.008919143676757812
6,2,attn_head,-0.001776123046875
6,3,attn_head,-0.01957550048828125
6,4,attn_head,-0.007778167724609375
6,5,attn_head,-0.01236114501953125
6,6,attn_head,-0.012438583374023437
6,7,attn_head,-0.018805313110351562
6,8,attn_head,-0.004553985595703125
6,9,attn_head,-0.0143951416015625
6,10,attn_head,-0.026753616333007813
6,11,attn_head,0.000894927978515625
7,0,attn_head,-0.022200775146484376
7,1,attn_head,-0.014902496337890625
7,2,attn_head,-0.015220260620117188
7,3,attn_head,-0.02354011535644531
7,4,attn_head,0.000287628173828125
7,5,attn_head,-0.024921417236328125
7,6,attn_head,-0.023018264770507814
7,7,attn_head,0.002329254150390625
7,8,attn_head,-0.01948089599609375
7,9,attn_head,-0.02586784362792969
7,10,attn_head,-0.017066192626953126
7,11,attn_head,-0.010264205932617187
8,0,attn_head,-0.01727447509765625
8,1,attn_head,-0.016773223876953125
8,2,attn_head,-0.014180755615234375
8,3,attn_head,-0.011793899536132812
8,4,attn_head,-0.011097335815429687
8,5,attn_head,-0.0193115234375
8,6,attn_head,-0.014126205444335937
8,7,attn_head,-0.010706329345703125
8,8,attn_head,-0.0352783203125
8,9,attn_head,-0.015348434448242188
8,10,attn_head,-0.023305130004882813
8,11,attn_head,-0.019040298461914063
9,0,attn_head,-0.016629409790039063
9,1,attn_head,-0.011922836303710938
9,2,attn_head,-0.011286544799804687
9,3,attn_head,-0.001717376708984375
9,4,attn_head,0.0020793914794921876
9,5,attn_head,-0.009503173828125
9,6,attn_head,-0.0034595489501953124
9,7,attn_head,0.0017093658447265626
9,8,attn_head,-0.0032894134521484373
9,9,attn_head,-0.006396102905273438
9,10,attn_head,-0.023844528198242187
9,11,attn_head,-0.008019638061523438
10,0,attn_head,-0.035768890380859376
10,1,attn_head,-0.019752883911132814
10,2,attn_head,-0.005404281616210938
10,3,attn_head,-0.006867599487304687
10,4,attn_head,-0.0008480072021484375
10,5,attn_head,-0.019684982299804688
10,6,attn_head,0.0101348876953125
10,7,attn_head,0.00318145751953125
10,8,attn_head,-0.017163848876953124
10,9,attn_head,-0.018713760375976562
10,10,attn_head,-0.0006526947021484375
10,11,attn_head,-0.0008441925048828125
11,0,attn_head,-0.00303192138671875
11,1,attn_head,-0.004328155517578125
11,2,attn_head,-0.0012226104736328125
11,3,attn_head,0.004657745361328125
11,4,attn_head,-0.003464508056640625
11,5,attn_head,-0.019486618041992188
11,6,attn_head,-0.007859039306640624
11,7,attn_head,-0.016146087646484376
11,8,attn_head,-0.01104888916015625
11,9,attn_head,0.00395660400390625
11,10,attn_head,-0.004951858520507812
11,11,attn_head,0.0031005859375
0,-1,mlp,-0.5233142852783204
1,-1,mlp,-0.20923004150390626
2,-1,mlp,-0.062369918823242186
3,-1,mlp,-0.10607986450195313
4,-1,mlp,-0.060462570190429686
5,-1,mlp,0.083837890625
6,-1,mlp,-0.07120208740234375
7,-1,mlp,0.021873092651367186
8,-1,mlp,0.04455718994140625
9,-1,mlp,-0.054839706420898436
10,-1,mlp,-0.010460281372070312
11,-1,mlp,-0.06837844848632812
