layer,head,type,effect
0,0,attn_head,-0.00070953369140625
0,1,attn_head,0.0
0,2,attn_head,0.0
0,3,attn_head,0.0
0,4,attn_head,-0.002803802490234375
0,5,attn_head,0.0
0,6,attn_head,0.0
0,7,attn_head,-0.003116607666015625
0,8,attn_head,0.0
0,9,attn_head,0.0
0,10,attn_head,0.0
0,11,attn_head,-0.000156402587890625
1,0,attn_head,0.0
1,1,attn_head,0.0
1,2,attn_head,0.0
1,3,attn_head,0.0
1,4,attn_head,0.0
1,5,attn_head,0.0
1,6,attn_head,0.0
1,7,attn_head,0.0
1,8,attn_head,-0.00142669677734375
1,9,attn_head,0.0
1,10,attn_head,0.0
1,11,attn_head,-0.0025787353515625
2,0,attn_head,0.0
2,1,attn_head,0.000156402587890625
2,2,attn_head,0.0
2,3,attn_head,0.001445770263671875
2,4,attn_head,-0.004364013671875
2,5,attn_head,-0.00450897216796875
2,6,attn_head,0.00432586669921875
2,7,attn_head,0.003368377685546875
2,8,attn_head,-0.005207061767578125
2,9,attn_head,-0.00018310546875
2,10,attn_head,0.0
2,11,attn_head,0.0
3,0,attn_head,0.0
3,1,attn_head,-0.000244140625
3,2,attn_head,-0.000591278076171875
3,3,attn_head,0.0
3,4,attn_head,-0.004077911376953125
3,5,attn_head,0.0
3,6,attn_head,-0.009204864501953125
3,7,attn_head,0.0
3,8,attn_head,-0.007938385009765625
3,9,attn_head,-0.000743865966796875
3,10,attn_head,0.0
3,11,attn_head,0.0
4,0,attn_head,0.0
4,1,attn_head,0.0
4,2,attn_head,0.0
4,3,attn_head,0.0
4,4,attn_head,-0.002193450927734375
4,5,attn_head,0.0
4,6,attn_head,-0.006561279296875
4,7,attn_head,0.0006256103515625
4,8,attn_head,-0.006267547607421875
4,9,attn_head,0.00135040283203125
4,10,attn_head,0.006252288818359375
4,11,attn_head,0.0
5,0,attn_head,-0.0001983642578125
5,1,attn_head,-0.000492095947265625
5,2,attn_head,-0.0072174072265625
5,3,attn_head,-0.001682281494140625
5,4,attn_head,-0.0025634765625
5,5,attn_head,0.00016021728515625
5,6,attn_head,-0.01744842529296875
5,7,attn_head,-0.001522064208984375
5,8,attn_head,-0.0182037353515625
5,9,attn_head,-0.0006561279296875
5,10,attn_head,-0.001026153564453125
5,11,attn_head,-0.005031585693359375
6,0,attn_head,-0.004913330078125
6,1,attn_head,-0.011631011962890625
6,2,attn_head,0.0
6,3,attn_head,0.0
6,4,attn_head,-0.002590179443359375
6,5,attn_head,-0.005771636962890625
6,6,attn_head,-0.006778717041015625
6,7,attn_head,0.0
6,8,attn_head,-0.002902984619140625
6,9,attn_head,0.0
6,10,attn_head,-9.918212890625e-05
6,11,attn_head,0.0
7,0,attn_head,-0.0001373291015625
7,1,attn_head,-0.003025054931640625
7,2,attn_head,-0.0036163330078125
7,3,attn_head,-0.009471893310546875
7,4,attn_head,-0.016231536865234375
7,5,attn_head,0.0
7,6,attn_head,-0.0167083740234375
7,7,attn_head,0.0
7,8,attn_head,0.0
7,9,attn_head,-0.00296783447265625
7,10,attn_head,0.0
7,11,attn_head,0.0
8,0,attn_head,0.0
8,1,attn_head,-0.001155853271484375
8,2,attn_head,-0.001617431640625
8,3,attn_head,0.00058746337890625
8,4,attn_head,-0.001323699951171875
8,5,attn_head,0.0
8,6,attn_head,-0.0036163330078125
8,7,attn_head,-0.004947662353515625
8,8,attn_head,0.0
8,9,attn_head,0.0
8,10,attn_head,0.0
8,11,attn_head,-0.0018768310546875
9,0,attn_head,-0.00559234619140625
9,1,attn_head,-0.004596710205078125
9,2,attn_head,0.0
9,3,attn_head,-0.001049041748046875
9,4,attn_head,-0.011653900146484375
9,5,attn_head,-0.009918212890625
9,6,attn_head,-0.00630950927734375
9,7,attn_head,-0.013988494873046875
9,8,attn_head,0.00211334228515625
9,9,attn_head,-0.0048828125
9,10,attn_head,0.0
9,11,attn_head,-0.008571624755859375
10,0,attn_head,0.0
10,1,attn_head,0.0
10,2,attn_head,-0.01325225830078125
10,3,attn_head,-0.005039215087890625
10,4,attn_head,-0.016082763671875
10,5,attn_head,-0.00040435791015625
10,6,attn_head,-0.000652313232421875
10,7,attn_head,-0.005504608154296875
10,8,attn_head,0.00038909912109375
10,9,attn_head,0.0
10,10,attn_head,0.0
10,11,attn_head,0.0
11,0,attn_head,-0.003208160400390625
11,1,attn_head,0.0
11,2,attn_head,0.0
11,3,attn_head,0.0
11,4,attn_head,0.0
11,5,attn_head,-0.004673004150390625
11,6,attn_head,0.0
11,7,attn_head,0.0
11,8,attn_head,0.0
11,9,attn_head,0.0
11,10,attn_head,0.0
11,11,attn_head,0.0
0,-1,mlp,-0.15716552734375
1,-1,mlp,-0.14014053344726562
2,-1,mlp,-0.0445404052734375
3,-1,mlp,0.0
4,-1,mlp,0.0
5,-1,mlp,0.03765869140625
6,-1,mlp,-0.00640106201171875
7,-1,mlp,0.0
8,-1,mlp,0.0
9,-1,mlp,-0.012664794921875
10,-1,mlp,0.0
11,-1,mlp,0.0
