layer,head,type,effect
0,0,attn_head,-0.01012420654296875
0,1,attn_head,0.000438690185546875
0,2,attn_head,-0.0029735565185546875
0,3,attn_head,-0.012027740478515625
0,4,attn_head,0.0054721832275390625
0,5,attn_head,-0.0033817291259765625
0,6,attn_head,-0.011674880981445312
0,7,attn_head,-0.004669189453125
0,8,attn_head,0.0038623809814453125
0,9,attn_head,-0.011610031127929688
0,10,attn_head,-0.023248672485351562
0,11,attn_head,0.004336357116699219
1,0,attn_head,-0.005757331848144531
1,1,attn_head,0.000415802001953125
1,2,attn_head,-0.0052776336669921875
1,3,attn_head,-0.0027599334716796875
1,4,attn_head,0.0042724609375
1,5,attn_head,6.29425048828125e-05
1,6,attn_head,-0.0004405975341796875
1,7,attn_head,-0.00156402587890625
1,8,attn_head,0.0015697479248046875
1,9,attn_head,0.0011119842529296875
1,10,attn_head,0.0010814666748046875
1,11,attn_head,-0.0003910064697265625
2,0,attn_head,0.002254486083984375
2,1,attn_head,0.0017681121826171875
2,2,attn_head,0.0051631927490234375
2,3,attn_head,0.0026531219482421875
2,4,attn_head,-0.0160369873046875
2,5,attn_head,0.01328277587890625
2,6,attn_head,-0.015951156616210938
2,7,attn_head,-0.006107330322265625
2,8,attn_head,0.0020742416381835938
2,9,attn_head,-0.015941619873046875
2,10,attn_head,0.00304412841796875
2,11,attn_head,-0.011569976806640625
3,0,attn_head,0.00112152099609375
3,1,attn_head,-0.0031642913818359375
3,2,attn_head,-0.0058307647705078125
3,3,attn_head,-0.016315460205078125
3,4,attn_head,-0.016851425170898438
3,5,attn_head,-0.009067535400390625
3,6,attn_head,-0.013845443725585938
3,7,attn_head,-0.00731658935546875
3,8,attn_head,-0.010951995849609375
3,9,attn_head,0.008663177490234375
3,10,attn_head,0.0006046295166015625
3,11,attn_head,0.009761810302734375
4,0,attn_head,-0.014026641845703125
4,1,attn_head,-0.0088653564453125
4,2,attn_head,0.001201629638671875
4,3,attn_head,-0.0164642333984375
4,4,attn_head,0.0014057159423828125
4,5,attn_head,-0.010957717895507812
4,6,attn_head,-0.00156402587890625
4,7,attn_head,-0.008218765258789062
4,8,attn_head,-0.0066356658935546875
4,9,attn_head,-0.011660575866699219
4,10,attn_head,-0.00566864013671875
4,11,attn_head,-0.007513999938964844
5,0,attn_head,-0.00711822509765625
5,1,attn_head,-0.020441055297851562
5,2,attn_head,0.00096893310546875
5,3,attn_head,-0.017812728881835938
5,4,attn_head,-0.027791976928710938
5,5,attn_head,0.0095367431640625
5,6,attn_head,-0.02703571319580078
5,7,attn_head,-0.01294708251953125
5,8,attn_head,-0.02498626708984375
5,9,attn_head,-0.01883697509765625
5,10,attn_head,-0.028608322143554688
5,11,attn_head,-0.005168914794921875
6,0,attn_head,-0.010776519775390625
6,1,attn_head,-0.02120208740234375
6,2,attn_head,0.0033206939697265625
6,3,attn_head,0.005126953125
6,4,attn_head,0.0046482086181640625
6,5,attn_head,-0.01807403564453125
6,6,attn_head,-0.036093711853027344
6,7,attn_head,-0.0007781982421875
6,8,attn_head,-0.01139068603515625
6,9,attn_head,-0.016841888427734375
6,10,attn_head,-0.02017974853515625
6,11,attn_head,-0.019054412841796875
7,0,attn_head,-0.02692413330078125
7,1,attn_head,-0.0034284591674804688
7,2,attn_head,-0.0190277099609375
7,3,attn_head,-0.010112762451171875
7,4,attn_head,0.00368499755859375
7,5,attn_head,-0.0296630859375
7,6,attn_head,-0.039417266845703125
7,7,attn_head,0.00115203857421875
7,8,attn_head,-0.02980804443359375
7,9,attn_head,-0.00980377197265625
