layer,head,type,effect
0,0,attn_head,0.0
0,1,attn_head,-0.015625
0,2,attn_head,-0.015625
0,3,attn_head,0.01953125
0,4,attn_head,0.0234375
0,5,attn_head,0.00390625
0,6,attn_head,-0.02734375
0,7,attn_head,0.00390625
0,8,attn_head,-0.01953125
0,9,attn_head,0.0
0,10,attn_head,0.00390625
0,11,attn_head,0.0078125
0,12,attn_head,0.01171875
0,13,attn_head,0.0234375
0,14,attn_head,0.015625
0,15,attn_head,0.015625
1,0,attn_head,-0.0078125
1,1,attn_head,-0.0078125
1,2,attn_head,-0.01953125
1,3,attn_head,0.015625
1,4,attn_head,-0.00390625
1,5,attn_head,0.015625
1,6,attn_head,-0.015625
1,7,attn_head,-0.0078125
1,8,attn_head,-0.015625
1,9,attn_head,-0.015625
1,10,attn_head,-0.0078125
1,11,attn_head,0.0
1,12,attn_head,-0.01171875
1,13,attn_head,-0.01171875
1,14,attn_head,0.00390625
1,15,attn_head,0.0234375
2,0,attn_head,-0.00390625
2,1,attn_head,0.0
2,2,attn_head,0.00390625
2,3,attn_head,0.0234375
2,4,attn_head,0.03125
2,5,attn_head,0.0234375
2,6,attn_head,0.0078125
2,7,attn_head,-0.01171875
2,8,attn_head,0.00390625
2,9,attn_head,0.01171875
2,10,attn_head,-0.00390625
2,11,attn_head,0.0234375
2,12,attn_head,-0.009765625
2,13,attn_head,-0.015625
2,14,attn_head,0.01953125
2,15,attn_head,0.0
3,0,attn_head,-0.00390625
3,1,attn_head,-0.01953125
3,2,attn_head,-0.015625
3,3,attn_head,-0.015625
3,4,attn_head,-0.0234375
3,5,attn_head,-0.04296875
3,6,attn_head,0.02734375
3,7,attn_head,-0.0703125
3,8,attn_head,-0.03125
3,9,attn_head,-0.078125
3,10,attn_head,-0.03125
3,11,attn_head,-0.015625
3,12,attn_head,0.0
3,13,attn_head,-0.00390625
3,14,attn_head,-0.052734375
3,15,attn_head,-0.0625
4,0,attn_head,-0.02734375
4,1,attn_head,-0.01171875
4,2,attn_head,0.0078125
4,3,attn_head,-0.02734375
4,4,attn_head,-0.01171875
4,5,attn_head,-0.013671875
4,6,attn_head,-0.01171875
4,7,attn_head,0.0
4,8,attn_head,-0.015625
4,9,attn_head,-0.0546875
4,10,attn_head,-0.05859375
4,11,attn_head,-0.0234375
4,12,attn_head,-0.01953125
4,13,attn_head,-0.03125
4,14,attn_head,-0.01171875
4,15,attn_head,-0.03515625
5,0,attn_head,0.0078125
5,1,attn_head,-0.0390625
5,2,attn_head,0.03125
5,3,attn_head,-0.015625
5,4,attn_head,0.0
5,5,attn_head,-0.0390625
5,6,attn_head,-0.00390625
5,7,attn_head,0.01171875
5,8,attn_head,0.02734375
5,9,attn_head,-0.060546875
5,10,attn_head,-0.01171875
5,11,attn_head,-0.056640625
5,12,attn_head,-0.0078125
5,13,attn_head,0.0234375
5,14,attn_head,-0.046875
5,15,attn_head,-0.00390625
6,0,attn_head,-0.0078125
6,1,attn_head,-0.0078125
6,2,attn_head,-0.015625
6,3,attn_head,-0.02734375
6,4,attn_head,0.013671875
6,5,attn_head,0.03125
6,6,attn_head,-0.0234375
6,7,attn_head,0.015625
6,8,attn_head,-0.04296875
6,9,attn_head,-0.015625
6,10,attn_head,0.0078125
6,11,attn_head,0.00390625
6,12,attn_head,-0.029296875
6,13,attn_head,0.0234375
6,14,attn_head,-0.046875
6,15,attn_head,-0.00390625
7,0,attn_head,-0.015625
7,1,attn_head,0.0
7,2,attn_head,0.0078125
7,3,attn_head,0.02734375
7,4,attn_head,0.0234375
7,5,attn_head,0.0
7,6,attn_head,-0.015625
7,7,attn_head,-0.0234375
7,8,attn_head,-0.0078125
7,9,attn_head,0.0078125
7,10,attn_head,0.0625
7,11,attn_head,0.0
7,12,attn_head,0.04296875
7,13,attn_head,-0.0078125
7,14,attn_head,-0.001953125
7,15,attn_head,0.015625
8,0,attn_head,-0.03515625
8,1,attn_head,0.00390625
8,2,attn_head,-0.00390625
8,3,attn_head,0.01171875
8,4,attn_head,-0.037109375
8,5,attn_head,-0.05078125
8,6,attn_head,-0.0703125
8,7,attn_head,-0.0234375
8,8,attn_head,-0.01953125
8,9,attn_head,0.0
8,10,attn_head,-0.01953125
8,11,attn_head,-0.01953125
8,12,attn_head,-0.03515625
8,13,attn_head,-0.03515625
8,14,attn_head,0.0078125
8,15,attn_head,-0.013671875
9,0,attn_head,0.015625
9,1,attn_head,-0.0234375
9,2,attn_head,-0.03515625
9,3,attn_head,0.02734375
9,4,attn_head,-0.06640625
9,5,attn_head,-0.046875
9,6,attn_head,-0.015625
9,7,attn_head,-0.046875
9,8,attn_head,0.021484375
9,9,attn_head,-0.01171875
9,10,attn_head,-0.03125
9,11,attn_head,-0.0234375
9,12,attn_head,0.01953125
9,13,attn_head,-0.015625
9,14,attn_head,0.0078125
9,15,attn_head,-0.00390625
10,0,attn_head,-0.03125
10,1,attn_head,-0.02734375
10,2,attn_head,-0.0078125
10,3,attn_head,0.0
10,4,attn_head,-0.015625
10,5,attn_head,-0.03125
10,6,attn_head,-0.0234375
10,7,attn_head,-0.0078125
10,8,attn_head,0.015625
10,9,attn_head,-0.00390625
10,10,attn_head,-0.0234375
10,11,attn_head,-0.046875
10,12,attn_head,0.00390625
10,13,attn_head,-0.03125
10,14,attn_head,-0.01171875
10,15,attn_head,-0.03515625
11,0,attn_head,0.0234375
11,1,attn_head,0.009765625
11,2,attn_head,0.0
11,3,attn_head,0.0390625
11,4,attn_head,0.0390625
11,5,attn_head,-0.01953125
11,6,attn_head,-0.01953125
11,7,attn_head,-0.015625
11,8,attn_head,-0.0078125
11,9,attn_head,-0.015625
11,10,attn_head,0.0078125
11,11,attn_head,0.02734375
11,12,attn_head,0.0234375
11,13,attn_head,-0.046875
11,14,attn_head,0.00390625
11,15,attn_head,0.00390625
12,0,attn_head,-0.02734375
12,1,attn_head,0.0078125
12,2,attn_head,-0.0078125
12,3,attn_head,0.0078125
12,4,attn_head,-0.046875
12,5,attn_head,-0.0078125
12,6,attn_head,-0.0703125
12,7,attn_head,-0.0234375
12,8,attn_head,-0.03125
12,9,attn_head,-0.02734375
12,10,attn_head,0.0
12,11,attn_head,-0.0234375
12,12,attn_head,-0.015625
12,13,attn_head,-0.00390625
12,14,attn_head,-0.04296875
12,15,attn_head,-0.01953125
13,0,attn_head,-0.03125
13,1,attn_head,-0.046875
13,2,attn_head,-0.03125
13,3,attn_head,-0.0546875
13,4,attn_head,-0.015625
13,5,attn_head,-0.03515625
13,6,attn_head,-0.05859375
13,7,attn_head,-0.0390625
13,8,attn_head,-0.02734375
13,9,attn_head,-0.0546875
13,10,attn_head,-0.03125
13,11,attn_head,-0.05859375
13,12,attn_head,-0.01953125
13,13,attn_head,0.0078125
13,14,attn_head,-0.0546875
13,15,attn_head,-0.046875
14,0,attn_head,-0.01953125
14,1,attn_head,-0.015625
14,2,attn_head,-0.029296875
14,3,attn_head,-0.001953125
14,4,attn_head,-0.015625
14,5,attn_head,-0.015625
14,6,attn_head,0.0
14,7,attn_head,-0.02734375
14,8,attn_head,-0.015625
14,9,attn_head,0.0078125
14,10,attn_head,-0.009765625
14,11,attn_head,-0.00390625
14,12,attn_head,0.0078125
14,13,attn_head,0.0234375
14,14,attn_head,0.0078125
14,15,attn_head,-0.015625
15,0,attn_head,-0.01171875
15,1,attn_head,0.0
15,2,attn_head,-0.03125
15,3,attn_head,-0.005859375
15,4,attn_head,0.01171875
15,5,attn_head,-0.01953125
15,6,attn_head,-0.015625
15,7,attn_head,-0.0234375
15,8,attn_head,-0.015625
15,9,attn_head,-0.015625
15,10,attn_head,0.0
15,11,attn_head,0.0
15,12,attn_head,-0.015625
15,13,attn_head,-0.0234375
15,14,attn_head,0.0078125
15,15,attn_head,-0.03125
16,0,attn_head,-0.015625
16,1,attn_head,0.015625
16,2,attn_head,0.0
16,3,attn_head,-0.005859375
16,4,attn_head,0.0
16,5,attn_head,-0.01953125
16,6,attn_head,0.02734375
16,7,attn_head,-0.015625
16,8,attn_head,-0.0078125
16,9,attn_head,-0.025390625
16,10,attn_head,0.0
16,11,attn_head,-0.01171875
16,12,attn_head,-0.0078125
16,13,attn_head,-0.01953125
16,14,attn_head,0.00390625
16,15,attn_head,0.0
17,0,attn_head,-0.0078125
17,1,attn_head,0.00390625
17,2,attn_head,0.0078125
17,3,attn_head,0.015625
17,4,attn_head,0.0078125
17,5,attn_head,0.0
17,6,attn_head,0.0
17,7,attn_head,-0.015625
17,8,attn_head,0.01171875
17,9,attn_head,0.01171875
17,10,attn_head,0.01171875
