layer,head,type,effect
0,0,attn_head,-0.0078125
0,1,attn_head,0.0
0,2,attn_head,-0.0078125
0,3,attn_head,0.0
0,4,attn_head,0.0
0,5,attn_head,0.0
0,6,attn_head,0.00390625
0,7,attn_head,0.0
0,8,attn_head,0.0
0,9,attn_head,0.0
0,10,attn_head,-0.0078125
0,11,attn_head,0.0
0,12,attn_head,-0.0078125
0,13,attn_head,0.0
0,14,attn_head,0.0
0,15,attn_head,0.0
1,0,attn_head,0.0
1,1,attn_head,-0.00390625
1,2,attn_head,-0.00390625
1,3,attn_head,0.0
1,4,attn_head,0.0
1,5,attn_head,0.0
1,6,attn_head,-0.01171875
1,7,attn_head,-0.00390625
1,8,attn_head,0.0
1,9,attn_head,-0.0234375
1,10,attn_head,0.0
1,11,attn_head,0.0
1,12,attn_head,-0.00390625
1,13,attn_head,-0.00390625
1,14,attn_head,0.0
1,15,attn_head,0.0
2,0,attn_head,0.01171875
2,1,attn_head,0.0
2,2,attn_head,-0.01171875
2,3,attn_head,0.0
2,4,attn_head,0.0
2,5,attn_head,0.0
2,6,attn_head,0.0
2,7,attn_head,0.01171875
2,8,attn_head,0.0
2,9,attn_head,0.0
2,10,attn_head,0.015625
2,11,attn_head,0.01171875
2,12,attn_head,0.01171875
2,13,attn_head,0.0
2,14,attn_head,0.0
2,15,attn_head,0.00390625
3,0,attn_head,0.0
3,1,attn_head,-0.0078125
3,2,attn_head,-0.03125
3,3,attn_head,0.0
3,4,attn_head,-0.00390625
3,5,attn_head,-0.01171875
3,6,attn_head,0.0
3,7,attn_head,-0.01953125
3,8,attn_head,-0.0078125
3,9,attn_head,-0.0078125
3,10,attn_head,-0.01171875
3,11,attn_head,0.0
3,12,attn_head,-0.01171875
3,13,attn_head,0.0
3,14,attn_head,-0.03515625
3,15,attn_head,0.00390625
4,0,attn_head,0.0
4,1,attn_head,0.0
4,2,attn_head,-0.0078125
4,3,attn_head,0.0
4,4,attn_head,-0.0078125
4,5,attn_head,0.0
4,6,attn_head,0.0
4,7,attn_head,0.0
4,8,attn_head,0.0
4,9,attn_head,0.0
4,10,attn_head,0.0
4,11,attn_head,-0.015625
4,12,attn_head,0.00390625
4,13,attn_head,0.0
4,14,attn_head,0.0
4,15,attn_head,0.0
5,0,attn_head,0.0
5,1,attn_head,0.0
5,2,attn_head,-0.01171875
5,3,attn_head,-0.0078125
5,4,attn_head,-0.00390625
5,5,attn_head,-0.0078125
5,6,attn_head,-0.0078125
5,7,attn_head,0.01171875
