layer,head,type,effect
0,0,attn_head,-0.0041904449462890625
0,1,attn_head,0.002041339874267578
0,2,attn_head,0.00763392448425293
0,3,attn_head,-0.004444122314453125
0,4,attn_head,-0.0023691654205322266
0,5,attn_head,0.004040718078613281
0,6,attn_head,-0.001216888427734375
0,7,attn_head,0.0024199485778808594
0,8,attn_head,-0.0011043548583984375
0,9,attn_head,0.0028760433197021484
0,10,attn_head,-0.00039696693420410156
0,11,attn_head,-0.00025534629821777344
0,12,attn_head,0.0019998550415039062
0,13,attn_head,0.005242466926574707
0,14,attn_head,-0.0018944740295410156
0,15,attn_head,-0.003488898277282715
0,16,attn_head,0.004320859909057617
0,17,attn_head,-0.0010651350021362305
0,18,attn_head,-0.008497118949890137
0,19,attn_head,0.0008869171142578125
0,20,attn_head,-0.005594134330749512
0,21,attn_head,0.004034519195556641
0,22,attn_head,-0.0005855560302734375
0,23,attn_head,-0.0014388561248779297
0,24,attn_head,-0.002254009246826172
0,25,attn_head,0.0022459030151367188
0,26,attn_head,0.0019211769104003906
0,27,attn_head,0.00010132789611816406
0,28,attn_head,0.003664731979370117
0,29,attn_head,-0.0005900859832763672
0,30,attn_head,-0.005437374114990234
0,31,attn_head,-0.007142543792724609
1,0,attn_head,-0.012469291687011719
1,1,attn_head,0.011613130569458008
1,2,attn_head,-0.006990194320678711
1,3,attn_head,-0.0053234100341796875
1,4,attn_head,-0.001427769660949707
1,5,attn_head,-0.0010662078857421875
1,6,attn_head,0.012894630432128906
1,7,attn_head,-0.005228757858276367
1,8,attn_head,-0.0025620460510253906
1,9,attn_head,0.010519027709960938
1,10,attn_head,-0.006470441818237305
1,11,attn_head,0.004044294357299805
1,12,attn_head,-0.009589433670043945
1,13,attn_head,-0.005806922912597656
1,14,attn_head,0.0055255889892578125
1,15,attn_head,-0.00566554069519043
1,16,attn_head,0.0066863298416137695
1,17,attn_head,-0.006989717483520508
1,18,attn_head,0.005361795425415039
1,19,attn_head,-0.009255647659301758
1,20,attn_head,0.005194306373596191
1,21,attn_head,-0.003400564193725586
1,22,attn_head,0.0015808343887329102
1,23,attn_head,-0.010594367980957031
1,24,attn_head,0.0034041404724121094
1,25,attn_head,0.0011794567108154297
1,26,attn_head,0.00014019012451171875
1,27,attn_head,-0.009278059005737305
1,28,attn_head,-0.0057561397552490234
1,29,attn_head,0.013805150985717773
1,30,attn_head,0.003385782241821289
1,31,attn_head,-0.00515294075012207
2,0,attn_head,-0.00950312614440918
2,1,attn_head,0.0033767223358154297
2,2,attn_head,-0.0017833709716796875
2,3,attn_head,-0.0058515071868896484
2,4,attn_head,0.00880742073059082
2,5,attn_head,0.0051457881927490234
2,6,attn_head,-0.008038997650146484
2,7,attn_head,0.003020048141479492
2,8,attn_head,0.010827302932739258
2,9,attn_head,0.0018714666366577148
2,10,attn_head,0.0023032426834106445
2,11,attn_head,0.0019949674606323242
2,12,attn_head,0.004547119140625
2,13,attn_head,-0.011537432670593262
2,14,attn_head,-0.0053632259368896484
2,15,attn_head,-0.00771021842956543
2,16,attn_head,-0.0014786720275878906
2,17,attn_head,-0.021130084991455078
2,18,attn_head,-0.0030556917190551758
2,19,attn_head,-0.015576362609863281
2,20,attn_head,-0.011722803115844727
2,21,attn_head,-0.0007622241973876953
2,22,attn_head,-0.003018617630004883
2,23,attn_head,0.010570526123046875
2,24,attn_head,-0.005297183990478516
2,25,attn_head,-0.003430008888244629
2,26,attn_head,-0.001209259033203125
2,27,attn_head,0.012453317642211914
2,28,attn_head,0.0026221275329589844
2,29,attn_head,0.004019379615783691
2,30,attn_head,-0.012418031692504883
2,31,attn_head,-0.00567936897277832
3,0,attn_head,-0.015035390853881836
3,1,attn_head,0.003771543502807617
3,2,attn_head,-0.014862537384033203
3,3,attn_head,-0.010670900344848633
3,4,attn_head,-0.006879925727844238
3,5,attn_head,-0.0032875537872314453
3,6,attn_head,-0.0061914920806884766
3,7,attn_head,-0.008424162864685059
3,8,attn_head,0.0018818378448486328
3,9,attn_head,0.008955240249633789
3,10,attn_head,-0.0031714439392089844
3,11,attn_head,-0.005240440368652344
3,12,attn_head,-0.004405498504638672
3,13,attn_head,-0.008462667465209961
3,14,attn_head,0.002080678939819336
3,15,attn_head,-0.01571035385131836
3,16,attn_head,-0.006245255470275879
3,17,attn_head,0.007649421691894531
3,18,attn_head,-0.009210586547851562
3,19,attn_head,-0.0015985965728759766
3,20,attn_head,-0.0049419403076171875
3,21,attn_head,-0.010454773902893066
3,22,attn_head,-0.0017843246459960938
3,23,attn_head,0.001493215560913086
3,24,attn_head,0.0030062198638916016
3,25,attn_head,-0.01870441436767578
3,26,attn_head,-0.0021736621856689453
3,27,attn_head,0.00081634521484375
3,28,attn_head,-0.002537846565246582
3,29,attn_head,-0.003067493438720703
3,30,attn_head,-0.010833501815795898
3,31,attn_head,0.007868766784667969
4,0,attn_head,0.007843255996704102
4,1,attn_head,-0.00455474853515625
4,2,attn_head,0.01038980484008789
4,3,attn_head,0.005766153335571289
4,4,attn_head,-0.0023496150970458984
4,5,attn_head,-0.00010251998901367188
4,6,attn_head,0.007784605026245117
4,7,attn_head,-0.01166224479675293
4,8,attn_head,0.0029425621032714844
4,9,attn_head,0.005176186561584473
4,10,attn_head,0.007360935211181641
4,11,attn_head,0.00316619873046875
4,12,attn_head,0.0030232667922973633
4,13,attn_head,-0.002673625946044922
4,14,attn_head,0.0033532381057739258
4,15,attn_head,-0.002673625946044922
4,16,attn_head,-0.0010879039764404297
4,17,attn_head,0.004397749900817871
4,18,attn_head,0.008664846420288086
4,19,attn_head,0.0007989406585693359
4,20,attn_head,0.0038814544677734375
4,21,attn_head,0.00865626335144043
4,22,attn_head,-0.00312042236328125
4,23,attn_head,0.0072405338287353516
4,24,attn_head,0.0040416717529296875
4,25,attn_head,0.005396604537963867
4,26,attn_head,-0.0047664642333984375
4,27,attn_head,0.003982424736022949
4,28,attn_head,0.003002166748046875
4,29,attn_head,0.006469011306762695
4,30,attn_head,-0.0034911632537841797
4,31,attn_head,-0.0003533363342285156
5,0,attn_head,-0.0037927627563476562
5,1,attn_head,-0.0020569562911987305
5,2,attn_head,0.00451815128326416
5,3,attn_head,-0.006487727165222168
5,4,attn_head,-0.009296774864196777
5,5,attn_head,0.0007872581481933594
5,6,attn_head,-0.011289000511169434
5,7,attn_head,-0.0009870529174804688
5,8,attn_head,-0.002500176429748535
5,9,attn_head,-0.004128456115722656
5,10,attn_head,-0.00698089599609375
5,11,attn_head,0.002855658531188965
5,12,attn_head,0.0068166255950927734
5,13,attn_head,-0.006459236145019531
5,14,attn_head,-0.009476065635681152
5,15,attn_head,0.0057724714279174805
5,16,attn_head,-0.02478647232055664
5,17,attn_head,-0.012846708297729492
5,18,attn_head,-0.021347522735595703
5,19,attn_head,-0.006302475929260254
5,20,attn_head,-0.004309654235839844
5,21,attn_head,0.002801179885864258
5,22,attn_head,0.0102081298828125
5,23,attn_head,0.004244089126586914
5,24,attn_head,-0.00881505012512207
5,25,attn_head,0.008854150772094727
5,26,attn_head,-0.0008155107498168945
5,27,attn_head,0.0020928382873535156
5,28,attn_head,-0.009293556213378906
5,29,attn_head,-0.013689398765563965
5,30,attn_head,-0.006219625473022461
5,31,attn_head,-0.016158342361450195
6,0,attn_head,-0.017658352851867676
6,1,attn_head,-0.0022766590118408203
6,2,attn_head,-0.015084624290466309
6,3,attn_head,-0.013402223587036133
6,4,attn_head,-0.007449746131896973
6,5,attn_head,-0.005572795867919922
6,6,attn_head,0.021025657653808594
6,7,attn_head,-0.0065746307373046875
6,8,attn_head,-0.016429662704467773
6,9,attn_head,-0.0064907073974609375
6,10,attn_head,-0.008829832077026367
6,11,attn_head,-0.015651464462280273
6,12,attn_head,-0.01626276969909668
6,13,attn_head,-0.0015950202941894531
6,14,attn_head,0.009207010269165039
6,15,attn_head,-0.02258467674255371
6,16,attn_head,-0.004143953323364258
6,17,attn_head,-0.0075376033782958984
6,18,attn_head,-0.014060616493225098
6,19,attn_head,-0.024390220642089844
6,20,attn_head,-0.021309614181518555
6,21,attn_head,-0.021973133087158203
6,22,attn_head,-0.014920711517333984
6,23,attn_head,-0.015807151794433594
6,24,attn_head,0.010419845581054688
6,25,attn_head,-0.014076948165893555
6,26,attn_head,5.078315734863281e-05
6,27,attn_head,-0.020486116409301758
6,28,attn_head,-0.007610797882080078
6,29,attn_head,-0.02465534210205078
6,30,attn_head,-0.023325681686401367
6,31,attn_head,-0.010614871978759766
7,0,attn_head,0.006020307540893555
7,1,attn_head,-0.004609823226928711
7,2,attn_head,-0.004970073699951172
7,3,attn_head,0.001992940902709961
7,4,attn_head,-0.034661293029785156
7,5,attn_head,-0.003584742546081543
7,6,attn_head,-0.018152832984924316
7,7,attn_head,-0.004511713981628418
7,8,attn_head,-0.0013003349304199219
7,9,attn_head,0.00642704963684082
7,10,attn_head,-0.01643514633178711
7,11,attn_head,-0.0129622220993042
7,12,attn_head,-0.016690969467163086
7,13,attn_head,-0.012347221374511719
7,14,attn_head,-0.011524438858032227
7,15,attn_head,-0.009028434753417969
7,16,attn_head,-0.012777328491210938
7,17,attn_head,-0.02228569984436035
7,18,attn_head,0.002752065658569336
7,19,attn_head,-0.015103578567504883
7,20,attn_head,-0.029375910758972168
7,21,attn_head,0.00486445426940918
7,22,attn_head,-0.01599597930908203
7,23,attn_head,0.007102489471435547
7,24,attn_head,-0.009946584701538086
7,25,attn_head,-0.00545048713684082
7,26,attn_head,-0.010486364364624023
7,27,attn_head,0.0010874271392822266
7,28,attn_head,-0.004829764366149902
7,29,attn_head,-0.007314443588256836
7,30,attn_head,-0.01342153549194336
7,31,attn_head,-0.0055866241455078125
8,0,attn_head,-0.01304936408996582
8,1,attn_head,-0.0034025907516479492
8,2,attn_head,-0.016025543212890625
8,3,attn_head,-0.008790969848632812
8,4,attn_head,-0.004275321960449219
8,5,attn_head,-0.008758902549743652
8,6,attn_head,-0.01494145393371582
8,7,attn_head,-0.013829231262207031
8,8,attn_head,-0.003929853439331055
8,9,attn_head,0.0074956417083740234
8,10,attn_head,-0.01735103130340576
8,11,attn_head,-0.013709306716918945
8,12,attn_head,-0.006405830383300781
8,13,attn_head,-0.008279681205749512
8,14,attn_head,0.008957147598266602
8,15,attn_head,-0.0039310455322265625
8,16,attn_head,-0.015300989151000977
8,17,attn_head,-0.010354995727539062
8,18,attn_head,0.006888151168823242
8,19,attn_head,0.0001804828643798828
8,20,attn_head,-0.0071544647216796875
8,21,attn_head,-0.006340980529785156
8,22,attn_head,0.018538832664489746
8,23,attn_head,-0.03202629089355469
8,24,attn_head,0.0025014877319335938
8,25,attn_head,-0.03519546985626221
8,26,attn_head,0.004501938819885254
8,27,attn_head,-0.0033375024795532227
8,28,attn_head,-0.005886077880859375
8,29,attn_head,-0.011172294616699219
8,30,attn_head,-0.03173375129699707
8,31,attn_head,-0.0090867280960083
9,0,attn_head,-0.01627492904663086
9,1,attn_head,-0.010059833526611328
9,2,attn_head,-0.00957036018371582
9,3,attn_head,-0.0035325288772583008
9,4,attn_head,0.008079051971435547
9,5,attn_head,0.0015103816986083984
9,6,attn_head,-0.001965045928955078
9,7,attn_head,0.004719257354736328
9,8,attn_head,-0.017501115798950195
9,9,attn_head,-0.01425158977508545
9,10,attn_head,-0.007179379463195801
9,11,attn_head,-0.009902238845825195
9,12,attn_head,0.00849461555480957
9,13,attn_head,0.0060405731201171875
9,14,attn_head,-0.009009122848510742
9,15,attn_head,0.0077669620513916016
9,16,attn_head,-0.021446943283081055
9,17,attn_head,-0.012214899063110352
9,18,attn_head,-0.008872270584106445
9,19,attn_head,-0.0028009414672851562
9,20,attn_head,-0.011228561401367188
9,21,attn_head,-0.0018949508666992188
9,22,attn_head,0.0028268098831176758
9,23,attn_head,-0.01925361156463623
9,24,attn_head,-0.012490987777709961
9,25,attn_head,0.004265427589416504
9,26,attn_head,-0.015323638916015625
9,27,attn_head,-0.005308628082275391
