layer,head,type,effect
0,0,attn_head,0.0
0,1,attn_head,-0.0009918212890625
0,2,attn_head,0.0
0,3,attn_head,0.0
0,4,attn_head,-0.0007476806640625
0,5,attn_head,0.0
0,6,attn_head,0.0
0,7,attn_head,-0.005641937255859375
0,8,attn_head,0.0
0,9,attn_head,0.0
0,10,attn_head,-0.002254486083984375
0,11,attn_head,-0.001201629638671875
1,0,attn_head,0.0
1,1,attn_head,0.0
1,2,attn_head,0.001117706298828125
1,3,attn_head,0.0
1,4,attn_head,0.000232696533203125
1,5,attn_head,0.000209808349609375
1,6,attn_head,0.0
1,7,attn_head,-0.00115966796875
1,8,attn_head,-0.00142669677734375
1,9,attn_head,-0.00042724609375
1,10,attn_head,0.0
1,11,attn_head,0.0
2,0,attn_head,0.0
2,1,attn_head,0.0
2,2,attn_head,0.0
2,3,attn_head,0.001445770263671875
2,4,attn_head,-0.00150299072265625
2,5,attn_head,0.0
2,6,attn_head,0.003116607666015625
2,7,attn_head,0.003368377685546875
2,8,attn_head,-6.103515625e-05
2,9,attn_head,-0.001598358154296875
2,10,attn_head,-0.00238800048828125
2,11,attn_head,-0.00091552734375
3,0,attn_head,0.0
3,1,attn_head,-0.000244140625
3,2,attn_head,-0.000591278076171875
3,3,attn_head,0.0
3,4,attn_head,-0.003810882568359375
3,5,attn_head,0.0
3,6,attn_head,-0.009204864501953125
3,7,attn_head,0.0
3,8,attn_head,-0.005428314208984375
3,9,attn_head,-0.000743865966796875
3,10,attn_head,-0.00411224365234375
3,11,attn_head,-0.000579833984375
4,0,attn_head,0.0
4,1,attn_head,0.0
4,2,attn_head,-0.00048828125
4,3,attn_head,0.0
4,4,attn_head,-0.0020294189453125
4,5,attn_head,0.00124359130859375
4,6,attn_head,-0.006561279296875
4,7,attn_head,0.0
4,8,attn_head,-0.006267547607421875
4,9,attn_head,0.000545501708984375
4,10,attn_head,0.003543853759765625
4,11,attn_head,0.0
5,0,attn_head,0.0
5,1,attn_head,-0.00070953369140625
5,2,attn_head,-0.003936767578125
5,3,attn_head,-0.0003509521484375
5,4,attn_head,-0.000568389892578125
5,5,attn_head,0.00091552734375
5,6,attn_head,-0.005523681640625
5,7,attn_head,-0.000347137451171875
5,8,attn_head,-0.0182037353515625
5,9,attn_head,-0.0006561279296875
5,10,attn_head,-0.001026153564453125
5,11,attn_head,-0.0030975341796875
6,0,attn_head,-0.008098602294921875
6,1,attn_head,0.0
6,2,attn_head,0.0
6,3,attn_head,0.0
6,4,attn_head,0.0
6,5,attn_head,-0.0034942626953125
6,6,attn_head,-0.0014801025390625
6,7,attn_head,0.0
6,8,attn_head,0.0
6,9,attn_head,0.0
6,10,attn_head,-9.918212890625e-05
6,11,attn_head,0.0
7,0,attn_head,-0.0001373291015625
7,1,attn_head,-0.00519561767578125
7,2,attn_head,-0.002574920654296875
7,3,attn_head,-0.0037078857421875
7,4,attn_head,-0.016082763671875
7,5,attn_head,0.0
7,6,attn_head,-0.011676788330078125
7,7,attn_head,0.0
7,8,attn_head,0.0
7,9,attn_head,-0.00296783447265625
7,10,attn_head,0.0
7,11,attn_head,0.0
8,0,attn_head,0.0
8,1,attn_head,-0.001155853271484375
8,2,attn_head,-0.004467010498046875
8,3,attn_head,0.0
8,4,attn_head,0.0
8,5,attn_head,0.0
8,6,attn_head,-0.0042724609375
8,7,attn_head,-0.00096893310546875
8,8,attn_head,0.0
8,9,attn_head,0.0
8,10,attn_head,-4.1961669921875e-05
8,11,attn_head,0.0
9,0,attn_head,0.0
9,1,attn_head,0.0
9,2,attn_head,0.0
9,3,attn_head,0.0
9,4,attn_head,-0.01000213623046875
9,5,attn_head,-0.000736236572265625
9,6,attn_head,0.0
9,7,attn_head,-0.01678466796875
9,8,attn_head,0.0
9,9,attn_head,-0.001251220703125
9,10,attn_head,0.0
9,11,attn_head,-0.00447845458984375
10,0,attn_head,-0.00305938720703125
10,1,attn_head,0.0
10,2,attn_head,-0.01325225830078125
10,3,attn_head,-0.001636505126953125
10,4,attn_head,-0.0111541748046875
10,5,attn_head,-0.00040435791015625
10,6,attn_head,0.0
10,7,attn_head,-0.00957489013671875
10,8,attn_head,0.0
10,9,attn_head,0.0
10,10,attn_head,-0.00218963623046875
10,11,attn_head,0.0
11,0,attn_head,-0.003208160400390625
11,1,attn_head,0.0
11,2,attn_head,0.0
11,3,attn_head,0.0
11,4,attn_head,0.0
11,5,attn_head,0.0
11,6,attn_head,0.0
11,7,attn_head,0.0
11,8,attn_head,0.0
11,9,attn_head,0.0
11,10,attn_head,0.0
11,11,attn_head,0.0
0,-1,mlp,-0.08148574829101562
1,-1,mlp,-0.14014053344726562
2,-1,mlp,-0.0445404052734375
3,-1,mlp,0.0
4,-1,mlp,0.0
5,-1,mlp,0.03765869140625
6,-1,mlp,-0.005352020263671875
7,-1,mlp,0.0
8,-1,mlp,0.0
9,-1,mlp,0.0
10,-1,mlp,0.0
11,-1,mlp,0.0
