layer,head,type,effect
0,0,attn_head,0.03837890625
0,1,attn_head,-0.0380859375
0,2,attn_head,-0.02392578125
0,3,attn_head,0.03837890625
0,4,attn_head,-0.00078125
0,5,attn_head,0.073828125
0,6,attn_head,-0.0302734375
0,7,attn_head,0.00498046875
0,8,attn_head,0.03623046875
0,9,attn_head,0.0283203125
0,10,attn_head,-0.0015625
0,11,attn_head,-0.021484375
0,12,attn_head,0.02578125
0,13,attn_head,0.00693359375
0,14,attn_head,0.01259765625
0,15,attn_head,-0.02900390625
1,0,attn_head,-0.0185546875
1,1,attn_head,0.012890625
1,2,attn_head,-0.004296875
1,3,attn_head,0.0087890625
1,4,attn_head,-0.0216796875
1,5,attn_head,0.00654296875
1,6,attn_head,-0.0189453125
1,7,attn_head,-0.0474609375
1,8,attn_head,-0.0126953125
1,9,attn_head,-0.003125
1,10,attn_head,-0.003125
1,11,attn_head,-0.01650390625
1,12,attn_head,-0.02978515625
1,13,attn_head,-0.03203125
1,14,attn_head,-0.04130859375
1,15,attn_head,0.016796875
2,0,attn_head,0.019921875
2,1,attn_head,0.0353515625
2,2,attn_head,0.02392578125
2,3,attn_head,-0.02294921875
2,4,attn_head,0.01025390625
2,5,attn_head,0.0455078125
2,6,attn_head,0.02578125
2,7,attn_head,0.01357421875
2,8,attn_head,-0.0037109375
2,9,attn_head,0.050390625
2,10,attn_head,0.0134765625
2,11,attn_head,0.01484375
2,12,attn_head,-0.0166015625
2,13,attn_head,-0.0095703125
2,14,attn_head,0.03486328125
2,15,attn_head,0.0138671875
3,0,attn_head,-0.0052734375
3,1,attn_head,-0.05458984375
3,2,attn_head,-0.0486328125
3,3,attn_head,-0.0546875
3,4,attn_head,-0.030859375
3,5,attn_head,-0.09658203125
3,6,attn_head,0.0115234375
3,7,attn_head,-0.071875
3,8,attn_head,-0.03427734375
3,9,attn_head,-0.0974609375
3,10,attn_head,-0.083984375
3,11,attn_head,-0.0423828125
3,12,attn_head,-0.02626953125
3,13,attn_head,-0.01162109375
3,14,attn_head,-0.0525390625
3,15,attn_head,-0.04189453125
4,0,attn_head,-0.036328125
4,1,attn_head,-0.008203125
4,2,attn_head,-0.01416015625
4,3,attn_head,-0.051171875
4,4,attn_head,-0.01435546875
4,5,attn_head,-0.02548828125
4,6,attn_head,-0.03486328125
4,7,attn_head,-0.01611328125
4,8,attn_head,-0.02880859375
