layer,head,type,effect
0,0,attn_head,-0.0734375
0,1,attn_head,-0.033203125
0,2,attn_head,-0.08515625
0,3,attn_head,0.01796875
0,4,attn_head,-0.03984375
0,5,attn_head,-0.01875
0,6,attn_head,-0.064453125
0,7,attn_head,-0.030859375
0,8,attn_head,-0.031640625
0,9,attn_head,-0.058203125
0,10,attn_head,-0.0609375
0,11,attn_head,0.01484375
0,12,attn_head,-0.05390625
0,13,attn_head,-0.050390625
0,14,attn_head,-0.091796875
0,15,attn_head,-0.049609375
1,0,attn_head,0.005859375
1,1,attn_head,0.009375
1,2,attn_head,-0.010546875
1,3,attn_head,-0.0078125
1,4,attn_head,-0.016015625
1,5,attn_head,-0.016796875
1,6,attn_head,-0.00546875
1,7,attn_head,-0.024609375
1,8,attn_head,0.002734375
1,9,attn_head,-0.01171875
1,10,attn_head,-0.00234375
1,11,attn_head,0.012109375
1,12,attn_head,-0.018359375
1,13,attn_head,-0.006640625
1,14,attn_head,-0.00546875
1,15,attn_head,-0.00625
2,0,attn_head,0.024609375
2,1,attn_head,-0.0265625
2,2,attn_head,0.001953125
2,3,attn_head,0.0109375
2,4,attn_head,0.013671875
2,5,attn_head,-0.00703125
2,6,attn_head,0.005859375
2,7,attn_head,0.033984375
2,8,attn_head,0.015234375
2,9,attn_head,-0.002734375
2,10,attn_head,0.004296875
2,11,attn_head,0.0140625
2,12,attn_head,0.01171875
2,13,attn_head,-0.00703125
2,14,attn_head,-0.000390625
2,15,attn_head,-0.003515625
3,0,attn_head,-0.009765625
3,1,attn_head,-0.058203125
3,2,attn_head,-0.052734375
3,3,attn_head,-0.01796875
3,4,attn_head,-0.023828125
3,5,attn_head,-0.039453125
3,6,attn_head,-0.026953125
3,7,attn_head,-0.030078125
3,8,attn_head,-0.0421875
3,9,attn_head,-0.008203125
3,10,attn_head,-0.041015625
3,11,attn_head,-0.009375
3,12,attn_head,-0.01015625
3,13,attn_head,-0.023828125
3,14,attn_head,-0.058203125
3,15,attn_head,-0.0046875
4,0,attn_head,-0.006640625
4,1,attn_head,-0.008984375
4,2,attn_head,-0.02578125
4,3,attn_head,-0.026953125
