layer,head,type,effect
0,0,attn_head,0.0140625
0,1,attn_head,0.0265625
0,2,attn_head,0.0640625
0,3,attn_head,0.0078125
0,4,attn_head,0.0
0,5,attn_head,0.0109375
0,6,attn_head,0.021875
0,7,attn_head,0.0140625
0,8,attn_head,0.0515625
0,9,attn_head,0.046875
0,10,attn_head,0.0328125
0,11,attn_head,0.0359375
0,12,attn_head,0.03125
0,13,attn_head,-0.0140625
0,14,attn_head,0.025
0,15,attn_head,0.0078125
0,16,attn_head,-0.003125
0,17,attn_head,0.0640625
0,18,attn_head,0.025
0,19,attn_head,0.009375
0,20,attn_head,0.0203125
0,21,attn_head,0.028125
0,22,attn_head,0.0203125
0,23,attn_head,0.03125
0,24,attn_head,-0.0015625
0,25,attn_head,0.0203125
0,26,attn_head,0.0375
0,27,attn_head,0.015625
0,28,attn_head,0.0203125
0,29,attn_head,-0.003125
0,30,attn_head,0.015625
0,31,attn_head,0.003125
0,32,attn_head,-0.00625
0,33,attn_head,0.03125
0,34,attn_head,0.0234375
0,35,attn_head,0.0078125
0,36,attn_head,0.028125
0,37,attn_head,0.01875
0,38,attn_head,0.0203125
0,39,attn_head,-0.0109375
0,40,attn_head,0.025
0,41,attn_head,0.028125
0,42,attn_head,0.0375
0,43,attn_head,0.059375
0,44,attn_head,0.0328125
0,45,attn_head,0.0265625
0,46,attn_head,0.01875
0,47,attn_head,0.01875
0,48,attn_head,0.0125
0,49,attn_head,0.0
0,50,attn_head,0.0328125
0,51,attn_head,0.021875
0,52,attn_head,0.0015625
0,53,attn_head,0.0296875
0,54,attn_head,0.0515625
0,55,attn_head,-0.009375
0,56,attn_head,-0.00625
0,57,attn_head,-0.0109375
0,58,attn_head,0.0375
0,59,attn_head,0.0125
0,60,attn_head,-0.009375
0,61,attn_head,0.015625
0,62,attn_head,0.04375
0,63,attn_head,-0.0078125
1,0,attn_head,-0.0078125
1,1,attn_head,0.0203125
1,2,attn_head,0.01875
1,3,attn_head,0.0234375
1,4,attn_head,0.0109375
1,5,attn_head,0.01875
1,6,attn_head,0.003125
1,7,attn_head,0.025
1,8,attn_head,0.034375
1,9,attn_head,0.0125
1,10,attn_head,0.0296875
1,11,attn_head,0.040625
1,12,attn_head,0.03125
1,13,attn_head,0.009375
1,14,attn_head,0.03125
1,15,attn_head,0.01875
1,16,attn_head,0.053125
1,17,attn_head,0.009375
1,18,attn_head,0.0296875
1,19,attn_head,0.0203125
1,20,attn_head,0.0375
1,21,attn_head,0.015625
1,22,attn_head,0.00625
1,23,attn_head,-0.009375
1,24,attn_head,0.0234375
1,25,attn_head,0.0546875
1,26,attn_head,0.00625
1,27,attn_head,0.00625
1,28,attn_head,0.0609375
1,29,attn_head,0.04375
1,30,attn_head,0.0046875
1,31,attn_head,0.028125
1,32,attn_head,0.0296875
1,33,attn_head,0.0453125
1,34,attn_head,0.03125
1,35,attn_head,0.0140625
1,36,attn_head,0.0125
1,37,attn_head,0.0328125
1,38,attn_head,0.04375
1,39,attn_head,0.015625
1,40,attn_head,0.00625
1,41,attn_head,0.0296875
1,42,attn_head,0.03125
