layer,head,type,effect
0,0,attn_head,-0.0041015625
0,1,attn_head,0.00205078125
0,2,attn_head,-0.00869140625
0,3,attn_head,-0.00966796875
0,4,attn_head,-0.00654296875
0,5,attn_head,-0.0052734375
0,6,attn_head,-0.00986328125
0,7,attn_head,-0.00380859375
0,8,attn_head,0.00517578125
0,9,attn_head,-0.00556640625
0,10,attn_head,0.00146484375
0,11,attn_head,0.00400390625
0,12,attn_head,-0.01337890625
0,13,attn_head,-0.00068359375
0,14,attn_head,0.001953125
0,15,attn_head,-0.00302734375
0,16,attn_head,-0.02109375
0,17,attn_head,-0.0076171875
0,18,attn_head,0.00478515625
0,19,attn_head,-0.00419921875
0,20,attn_head,-0.0001953125
0,21,attn_head,0.00732421875
0,22,attn_head,0.0095703125
0,23,attn_head,0.00244140625
0,24,attn_head,-0.0017578125
0,25,attn_head,0.00224609375
0,26,attn_head,-0.00908203125
0,27,attn_head,-0.00634765625
0,28,attn_head,-0.00224609375
0,29,attn_head,-0.00458984375
0,30,attn_head,-0.0015625
0,31,attn_head,0.00283203125
0,32,attn_head,0.00556640625
0,33,attn_head,-0.00986328125
0,34,attn_head,-0.00517578125
0,35,attn_head,-0.0068359375
0,36,attn_head,-0.00810546875
0,37,attn_head,0.00390625
0,38,attn_head,-0.00302734375
0,39,attn_head,-0.001171875
1,0,attn_head,9.765625e-05
1,1,attn_head,0.00341796875
1,2,attn_head,0.00029296875
1,3,attn_head,0.0029296875
1,4,attn_head,-0.01962890625
1,5,attn_head,0.00439453125
1,6,attn_head,0.0056640625
1,7,attn_head,-0.00078125
1,8,attn_head,0.00126953125
1,9,attn_head,-0.00458984375
1,10,attn_head,-0.00693359375
1,11,attn_head,-0.01298828125
1,12,attn_head,-0.01923828125
1,13,attn_head,-0.0158203125
1,14,attn_head,-0.01591796875
1,15,attn_head,-0.00234375
1,16,attn_head,-0.00625
1,17,attn_head,-0.01318359375
1,18,attn_head,-0.00693359375
1,19,attn_head,-0.00947265625
1,20,attn_head,0.0005859375
1,21,attn_head,-0.003515625
1,22,attn_head,-0.0044921875
1,23,attn_head,0.00849609375
1,24,attn_head,0.012109375
1,25,attn_head,0.0087890625
1,26,attn_head,-0.00732421875
1,27,attn_head,-0.02060546875
1,28,attn_head,-0.0208984375
1,29,attn_head,-0.02197265625
1,30,attn_head,-0.005078125
1,31,attn_head,-0.01572265625
1,32,attn_head,-0.0115234375
1,33,attn_head,-0.00341796875
1,34,attn_head,-0.01318359375
1,35,attn_head,-0.01796875
1,36,attn_head,-0.00263671875
1,37,attn_head,-0.02060546875
1,38,attn_head,-0.01455078125
1,39,attn_head,-0.01142578125
2,0,attn_head,-0.01455078125
2,1,attn_head,-0.00927734375
2,2,attn_head,0.0193359375
2,3,attn_head,-0.01005859375
2,4,attn_head,0.0158203125
2,5,attn_head,0.00888671875
2,6,attn_head,-0.0041015625
2,7,attn_head,0.01494140625
2,8,attn_head,0.00146484375
2,9,attn_head,-0.0126953125
2,10,attn_head,0.00068359375
2,11,attn_head,-0.015625
2,12,attn_head,-0.01962890625
2,13,attn_head,-0.01513671875
2,14,attn_head,0.004296875
2,15,attn_head,-0.00625
2,16,attn_head,0.01767578125
2,17,attn_head,-0.0064453125
2,18,attn_head,-0.000390625
2,19,attn_head,0.00185546875
2,20,attn_head,-0.0171875
2,21,attn_head,-0.00576171875
2,22,attn_head,-0.00244140625
2,23,attn_head,-0.00966796875
2,24,attn_head,-0.00146484375
2,25,attn_head,0.00263671875
2,26,attn_head,0.00947265625
2,27,attn_head,-0.01064453125
2,28,attn_head,-0.0099609375
2,29,attn_head,-0.0052734375
2,30,attn_head,-0.00947265625
2,31,attn_head,0.00087890625
2,32,attn_head,-0.0076171875
2,33,attn_head,-0.0072265625
2,34,attn_head,-0.0048828125
2,35,attn_head,0.0
2,36,attn_head,-0.00498046875
2,37,attn_head,-0.0095703125
2,38,attn_head,0.0044921875
2,39,attn_head,-0.00927734375
3,0,attn_head,-0.00771484375
3,1,attn_head,-0.01728515625
3,2,attn_head,-0.01181640625
3,3,attn_head,0.0005859375
3,4,attn_head,-0.0099609375
3,5,attn_head,0.0
3,6,attn_head,-0.001953125
3,7,attn_head,-0.00595703125
3,8,attn_head,0.010546875
3,9,attn_head,-0.030859375
3,10,attn_head,0.01259765625
3,11,attn_head,0.01708984375
3,12,attn_head,0.01318359375
3,13,attn_head,0.00205078125
3,14,attn_head,-0.00791015625
3,15,attn_head,-0.019921875
3,16,attn_head,0.00673828125
3,17,attn_head,0.005078125
3,18,attn_head,0.0048828125
3,19,attn_head,-0.00703125
3,20,attn_head,-0.00634765625
3,21,attn_head,0.00556640625
3,22,attn_head,-0.0013671875
3,23,attn_head,0.00673828125
3,24,attn_head,0.02412109375
3,25,attn_head,0.01142578125
3,26,attn_head,-0.00361328125
3,27,attn_head,-0.001953125
3,28,attn_head,0.0109375
3,29,attn_head,0.0013671875
3,30,attn_head,-9.765625e-05
3,31,attn_head,-0.01015625
3,32,attn_head,0.00087890625
3,33,attn_head,-0.004296875
3,34,attn_head,-0.00029296875
3,35,attn_head,0.00908203125
3,36,attn_head,0.011328125
3,37,attn_head,0.00341796875
3,38,attn_head,0.01591796875
3,39,attn_head,-0.0017578125
4,0,attn_head,-0.013671875
4,1,attn_head,-0.00791015625
4,2,attn_head,-0.01201171875
4,3,attn_head,-0.0119140625
4,4,attn_head,0.005078125
4,5,attn_head,-0.00107421875
4,6,attn_head,-0.02607421875
4,7,attn_head,-0.01787109375
4,8,attn_head,-0.01630859375
4,9,attn_head,-0.00703125
4,10,attn_head,0.01484375
4,11,attn_head,-0.00556640625
4,12,attn_head,-0.01669921875
4,13,attn_head,-0.011328125
4,14,attn_head,-0.00205078125
4,15,attn_head,0.00888671875
4,16,attn_head,0.0091796875
4,17,attn_head,0.00302734375
4,18,attn_head,0.006640625
4,19,attn_head,0.0126953125
4,20,attn_head,-0.00458984375
4,21,attn_head,-0.002734375
4,22,attn_head,0.00185546875
4,23,attn_head,-0.003125
4,24,attn_head,-0.00947265625
4,25,attn_head,-0.00673828125
4,26,attn_head,-0.021484375
4,27,attn_head,-0.00869140625
4,28,attn_head,-0.03056640625
4,29,attn_head,0.00146484375
4,30,attn_head,-0.00986328125
4,31,attn_head,-0.00751953125
4,32,attn_head,-0.00146484375
4,33,attn_head,-0.01181640625
4,34,attn_head,-0.01923828125
4,35,attn_head,-0.0212890625
4,36,attn_head,-0.0287109375
4,37,attn_head,-0.0119140625
4,38,attn_head,0.003515625
4,39,attn_head,-0.01064453125
5,0,attn_head,0.00166015625
5,1,attn_head,-0.0017578125
5,2,attn_head,9.765625e-05
5,3,attn_head,-0.0138671875
5,4,attn_head,-0.00654296875
5,5,attn_head,-0.00634765625
5,6,attn_head,-0.003125
5,7,attn_head,-0.01591796875
5,8,attn_head,-0.001953125
5,9,attn_head,-0.00634765625
5,10,attn_head,-0.01513671875
5,11,attn_head,-0.00947265625
5,12,attn_head,-0.008203125
5,13,attn_head,-0.012109375
5,14,attn_head,-0.0169921875
5,15,attn_head,-0.006640625
