layer,head,type,patched_logit_diff,effect
0,0,attn_head,4.090534210205078,-0.12723541259765625
0,1,attn_head,4.150493621826172,-0.0672760009765625
0,2,attn_head,4.087158203125,-0.13061141967773438
0,3,attn_head,4.231754302978516,0.01398468017578125
0,4,attn_head,4.06024169921875,-0.15752792358398438
0,5,attn_head,4.0906219482421875,-0.12714767456054688
0,6,attn_head,4.221660614013672,0.0038909912109375
0,7,attn_head,4.208274841308594,-0.009494781494140625
0,8,attn_head,4.1593170166015625,-0.058452606201171875
0,9,attn_head,4.318328857421875,0.10055923461914062
0,10,attn_head,4.094387054443359,-0.123382568359375
0,11,attn_head,4.108833312988281,-0.10893630981445312
1,0,attn_head,4.315586090087891,0.09781646728515625
1,1,attn_head,4.234291076660156,0.016521453857421875
1,2,attn_head,4.264888763427734,0.047119140625
1,3,attn_head,4.359825134277344,0.14205551147460938
1,4,attn_head,4.206336975097656,-0.011432647705078125
1,5,attn_head,4.2107391357421875,-0.007030487060546875
1,6,attn_head,4.203884124755859,-0.013885498046875
1,7,attn_head,4.256671905517578,0.03890228271484375
1,8,attn_head,4.168083190917969,-0.049686431884765625
1,9,attn_head,4.269947052001953,0.05217742919921875
1,10,attn_head,4.255146026611328,0.03737640380859375
1,11,attn_head,4.319221496582031,0.10145187377929688
2,0,attn_head,4.1837310791015625,-0.034038543701171875
2,1,attn_head,4.219657897949219,0.001888275146484375
2,2,attn_head,4.183780670166016,-0.03398895263671875
2,3,attn_head,4.227863311767578,0.01009368896484375
2,4,attn_head,4.237556457519531,0.019786834716796875
2,5,attn_head,4.226997375488281,0.009227752685546875
2,6,attn_head,4.169700622558594,-0.048069000244140625
2,7,attn_head,4.168453216552734,-0.04931640625
2,8,attn_head,4.207305908203125,-0.010463714599609375
2,9,attn_head,4.233406066894531,0.015636444091796875
2,10,attn_head,4.2969207763671875,0.07915115356445312
2,11,attn_head,4.241828918457031,0.024059295654296875
3,0,attn_head,4.157783508300781,-0.059986114501953125
3,1,attn_head,4.205360412597656,-0.012409210205078125
3,2,attn_head,4.249912261962891,0.03214263916015625
3,3,attn_head,4.165172576904297,-0.0525970458984375
3,4,attn_head,4.184970855712891,-0.03279876708984375
3,5,attn_head,4.123451232910156,-0.09431838989257812
3,6,attn_head,4.291118621826172,0.0733489990234375
3,7,attn_head,4.287883758544922,0.0701141357421875
3,8,attn_head,4.191234588623047,-0.0265350341796875
3,9,attn_head,4.104938507080078,-0.11283111572265625
3,10,attn_head,4.235050201416016,0.01728057861328125
3,11,attn_head,4.301036834716797,0.0832672119140625
4,0,attn_head,4.221233367919922,0.0034637451171875
4,1,attn_head,4.20880126953125,-0.008968353271484375
4,2,attn_head,4.174304962158203,-0.04346466064453125
4,3,attn_head,4.196128845214844,-0.021640777587890625
4,4,attn_head,4.190174102783203,-0.02759552001953125
4,5,attn_head,4.207904815673828,-0.00986480712890625
4,6,attn_head,4.353115081787109,0.135345458984375
4,7,attn_head,4.155475616455078,-0.06229400634765625
4,8,attn_head,4.258842468261719,0.041072845458984375
4,9,attn_head,3.8702125549316406,-0.34755706787109375
4,10,attn_head,4.208873748779297,-0.0088958740234375
4,11,attn_head,4.176044464111328,-0.04172515869140625
5,0,attn_head,4.115867614746094,-0.10190200805664062
5,1,attn_head,4.177665710449219,-0.040103912353515625
5,2,attn_head,4.050815582275391,-0.16695404052734375
5,3,attn_head,4.222877502441406,0.005107879638671875
5,4,attn_head,4.3030853271484375,0.08531570434570312
5,5,attn_head,4.274723052978516,0.05695343017578125
5,6,attn_head,4.175773620605469,-0.041996002197265625
5,7,attn_head,4.310871124267578,0.09310150146484375
5,8,attn_head,4.397617340087891,0.17984771728515625
5,9,attn_head,4.146949768066406,-0.07081985473632812
5,10,attn_head,4.457523345947266,0.23975372314453125
5,11,attn_head,4.065666198730469,-0.15210342407226562
6,0,attn_head,4.3606719970703125,0.14290237426757812
6,1,attn_head,4.302665710449219,0.08489608764648438
6,2,attn_head,4.026683807373047,-0.1910858154296875
6,3,attn_head,4.084926605224609,-0.132843017578125
6,4,attn_head,4.275611877441406,0.057842254638671875
6,5,attn_head,4.161983489990234,-0.0557861328125
6,6,attn_head,4.442230224609375,0.22446060180664062
6,7,attn_head,4.310497283935547,0.0927276611328125
6,8,attn_head,4.186725616455078,-0.03104400634765625
6,9,attn_head,4.230571746826172,0.0128021240234375
6,10,attn_head,4.2338409423828125,0.016071319580078125
6,11,attn_head,4.230739593505859,0.012969970703125
7,0,attn_head,4.253704071044922,0.0359344482421875
7,1,attn_head,4.360370635986328,0.14260101318359375
7,2,attn_head,4.078708648681641,-0.13906097412109375
7,3,attn_head,4.243232727050781,0.025463104248046875
7,4,attn_head,4.236228942871094,0.018459320068359375
7,5,attn_head,4.005893707275391,-0.21187591552734375
7,6,attn_head,4.232307434082031,0.014537811279296875
7,7,attn_head,4.114128112792969,-0.10364151000976562
7,8,attn_head,4.0728302001953125,-0.14493942260742188
7,9,attn_head,4.418495178222656,0.20072555541992188
7,10,attn_head,3.9945449829101562,-0.22322463989257812
7,11,attn_head,3.970611572265625,-0.24715805053710938
8,0,attn_head,4.125644683837891,-0.09212493896484375
8,1,attn_head,4.305042266845703,0.08727264404296875
8,2,attn_head,4.075984954833984,-0.14178466796875
8,3,attn_head,4.105720520019531,-0.11204910278320312
8,4,attn_head,4.247241973876953,0.02947235107421875
8,5,attn_head,4.065235137939453,-0.15253448486328125
8,6,attn_head,4.0205078125,-0.19726181030273438
8,7,attn_head,4.084465026855469,-0.13330459594726562
8,8,attn_head,4.106849670410156,-0.11091995239257812
8,9,attn_head,4.310199737548828,0.09243011474609375
8,10,attn_head,4.224109649658203,0.00634002685546875
8,11,attn_head,4.26116943359375,0.043399810791015625
9,0,attn_head,4.137523651123047,-0.0802459716796875
9,1,attn_head,4.206634521484375,-0.011135101318359375
9,2,attn_head,4.182147979736328,-0.03562164306640625
9,3,attn_head,4.130516052246094,-0.08725357055664062
9,4,attn_head,4.253875732421875,0.036106109619140625
9,5,attn_head,4.084953308105469,-0.13281631469726562
9,6,attn_head,4.107646942138672,-0.1101226806640625
9,7,attn_head,4.112567901611328,-0.10520172119140625
9,8,attn_head,4.129158020019531,-0.08861160278320312
9,9,attn_head,4.147556304931641,-0.07021331787109375
9,10,attn_head,4.277095794677734,0.059326171875
9,11,attn_head,4.327934265136719,0.11016464233398438
10,0,attn_head,4.2317657470703125,0.013996124267578125
10,1,attn_head,4.428684234619141,0.21091461181640625
10,2,attn_head,4.319526672363281,0.10175704956054688
10,3,attn_head,4.204345703125,-0.013423919677734375
10,4,attn_head,4.203086853027344,-0.014682769775390625
10,5,attn_head,4.194728851318359,-0.023040771484375
10,6,attn_head,4.108325958251953,-0.10944366455078125
10,7,attn_head,4.1215667724609375,-0.09620285034179688
10,8,attn_head,4.10333251953125,-0.11443710327148438
10,9,attn_head,4.23175048828125,0.013980865478515625
10,10,attn_head,4.305870056152344,0.08810043334960938
10,11,attn_head,4.374897003173828,0.15712738037109375
11,0,attn_head,4.238674163818359,0.020904541015625
11,1,attn_head,4.332889556884766,0.11511993408203125
11,2,attn_head,4.355472564697266,0.13770294189453125
11,3,attn_head,4.186653137207031,-0.031116485595703125
11,4,attn_head,4.202686309814453,-0.01508331298828125
11,5,attn_head,4.2030181884765625,-0.014751434326171875
11,6,attn_head,4.216304779052734,-0.00146484375
11,7,attn_head,4.169002532958984,-0.04876708984375
11,8,attn_head,4.275394439697266,0.05762481689453125
11,9,attn_head,4.220714569091797,0.0029449462890625
11,10,attn_head,4.213680267333984,-0.00408935546875
11,11,attn_head,4.352222442626953,0.13445281982421875
0,-1,mlp,1.2018508911132812,-3.015918731689453
1,-1,mlp,4.271312713623047,0.0535430908203125
2,-1,mlp,3.8514404296875,-0.3663291931152344
3,-1,mlp,3.6170425415039062,-0.6007270812988281
4,-1,mlp,3.14849853515625,-1.0692710876464844
5,-1,mlp,4.917201995849609,0.699432373046875
6,-1,mlp,3.971923828125,-0.24584579467773438
7,-1,mlp,4.558368682861328,0.34059906005859375
8,-1,mlp,3.7204437255859375,-0.4973258972167969
9,-1,mlp,2.3186721801757812,-1.8990974426269531
10,-1,mlp,4.032310485839844,-0.18545913696289062
11,-1,mlp,2.9702072143554688,-1.2475624084472656
