layer,head,type,patched_logit_diff,effect
0,0,attn_head,1.9450836181640625,-0.11065673828125
0,1,attn_head,2.058380126953125,0.0026397705078125
0,2,attn_head,1.8491363525390625,-0.20660400390625
0,3,attn_head,2.1236419677734375,0.067901611328125
0,4,attn_head,1.7818756103515625,-0.27386474609375
0,5,attn_head,1.7806167602539062,-0.27512359619140625
0,6,attn_head,2.2794036865234375,0.223663330078125
0,7,attn_head,1.9670562744140625,-0.08868408203125
0,8,attn_head,2.0419845581054688,-0.01375579833984375
0,9,attn_head,1.9363174438476562,-0.11942291259765625
0,10,attn_head,1.983612060546875,-0.0721282958984375
0,11,attn_head,1.9219131469726562,-0.13382720947265625
1,0,attn_head,2.05322265625,-0.0025177001953125
1,1,attn_head,1.9880142211914062,-0.06772613525390625
1,2,attn_head,2.0442123413085938,-0.01152801513671875
1,3,attn_head,2.0436325073242188,-0.01210784912109375
1,4,attn_head,1.9461593627929688,-0.10958099365234375
1,5,attn_head,2.0511550903320312,-0.00458526611328125
1,6,attn_head,2.00286865234375,-0.0528717041015625
1,7,attn_head,1.9005279541015625,-0.15521240234375
1,8,attn_head,1.9549179077148438,-0.10082244873046875
1,9,attn_head,1.99310302734375,-0.0626373291015625
1,10,attn_head,2.0298004150390625,-0.02593994140625
1,11,attn_head,2.0248184204101562,-0.03092193603515625
2,0,attn_head,1.9357376098632812,-0.12000274658203125
2,1,attn_head,1.981689453125,-0.0740509033203125
2,2,attn_head,1.988616943359375,-0.0671234130859375
2,3,attn_head,1.954833984375,-0.1009063720703125
2,4,attn_head,1.8571929931640625,-0.19854736328125
2,5,attn_head,1.8883514404296875,-0.167388916015625
2,6,attn_head,1.89459228515625,-0.1611480712890625
2,7,attn_head,2.0219268798828125,-0.0338134765625
2,8,attn_head,1.8277053833007812,-0.22803497314453125
2,9,attn_head,2.01873779296875,-0.0370025634765625
2,10,attn_head,1.8097915649414062,-0.24594879150390625
2,11,attn_head,2.0195465087890625,-0.03619384765625
3,0,attn_head,2.0110855102539062,-0.04465484619140625
3,1,attn_head,2.0371627807617188,-0.01857757568359375
3,2,attn_head,2.1413421630859375,0.085601806640625
3,3,attn_head,2.0250396728515625,-0.03070068359375
3,4,attn_head,1.9178924560546875,-0.137847900390625
3,5,attn_head,1.9188919067382812,-0.13684844970703125
3,6,attn_head,2.030487060546875,-0.0252532958984375
3,7,attn_head,1.9558563232421875,-0.099884033203125
3,8,attn_head,2.0220184326171875,-0.033721923828125
3,9,attn_head,2.1104888916015625,0.05474853515625
3,10,attn_head,1.8579254150390625,-0.19781494140625
3,11,attn_head,2.0629196166992188,0.00717926025390625
4,0,attn_head,1.9561996459960938,-0.09954071044921875
4,1,attn_head,2.1126861572265625,0.05694580078125
4,2,attn_head,1.9996566772460938,-0.05608367919921875
4,3,attn_head,2.1251449584960938,0.06940460205078125
4,4,attn_head,1.8839569091796875,-0.171783447265625
4,5,attn_head,2.0173416137695312,-0.03839874267578125
4,6,attn_head,1.8699874877929688,-0.18575286865234375
4,7,attn_head,2.0400390625,-0.0157012939453125
4,8,attn_head,1.9482650756835938,-0.10747528076171875
4,9,attn_head,2.024139404296875,-0.0316009521484375
4,10,attn_head,1.9501190185546875,-0.105621337890625
4,11,attn_head,2.112640380859375,0.0569000244140625
5,0,attn_head,1.8341140747070312,-0.22162628173828125
5,1,attn_head,2.1072998046875,0.0515594482421875
5,2,attn_head,1.8009262084960938,-0.25481414794921875
5,3,attn_head,1.91485595703125,-0.1408843994140625
5,4,attn_head,2.0882492065429688,0.03250885009765625
5,5,attn_head,2.0816650390625,0.0259246826171875
5,6,attn_head,2.048095703125,-0.0076446533203125
5,7,attn_head,1.852874755859375,-0.2028656005859375
5,8,attn_head,1.877899169921875,-0.1778411865234375
5,9,attn_head,1.9758148193359375,-0.079925537109375
5,10,attn_head,1.9164962768554688,-0.13924407958984375
5,11,attn_head,2.2086410522460938,0.15290069580078125
6,0,attn_head,1.973236083984375,-0.0825042724609375
6,1,attn_head,2.1068572998046875,0.051116943359375
6,2,attn_head,2.2178573608398438,0.16211700439453125
6,3,attn_head,1.9962234497070312,-0.05951690673828125
6,4,attn_head,1.9463119506835938,-0.10942840576171875
6,5,attn_head,2.0099105834960938,-0.04582977294921875
6,6,attn_head,2.0700225830078125,0.0142822265625
6,7,attn_head,2.0631179809570312,0.00737762451171875
6,8,attn_head,2.0511474609375,-0.0045928955078125
6,9,attn_head,1.9980010986328125,-0.0577392578125
6,10,attn_head,1.9467086791992188,-0.10903167724609375
6,11,attn_head,1.9361648559570312,-0.11957550048828125
7,0,attn_head,2.1268692016601562,0.07112884521484375
7,1,attn_head,2.1032257080078125,0.0474853515625
7,2,attn_head,2.0492782592773438,-0.00646209716796875
7,3,attn_head,1.9420013427734375,-0.113739013671875
7,4,attn_head,2.1593551635742188,0.10361480712890625
7,5,attn_head,2.1174697875976562,0.06172943115234375
7,6,attn_head,2.1173095703125,0.0615692138671875
7,7,attn_head,2.1047515869140625,0.04901123046875
7,8,attn_head,2.1383743286132812,0.08263397216796875
7,9,attn_head,2.0630569458007812,0.00731658935546875
7,10,attn_head,1.9715118408203125,-0.084228515625
7,11,attn_head,2.2132568359375,0.1575164794921875
8,0,attn_head,2.0379714965820312,-0.01776885986328125
8,1,attn_head,2.1227569580078125,0.0670166015625
8,2,attn_head,2.1446762084960938,0.08893585205078125
8,3,attn_head,2.0822601318359375,0.026519775390625
8,4,attn_head,2.0861892700195312,0.03044891357421875
8,5,attn_head,2.066070556640625,0.0103302001953125
8,6,attn_head,2.0300445556640625,-0.02569580078125
8,7,attn_head,2.1761856079101562,0.12044525146484375
8,8,attn_head,1.9137649536132812,-0.14197540283203125
8,9,attn_head,2.1098098754882812,0.05406951904296875
8,10,attn_head,2.0519256591796875,-0.003814697265625
8,11,attn_head,2.071624755859375,0.0158843994140625
9,0,attn_head,2.0973663330078125,0.0416259765625
9,1,attn_head,2.0066680908203125,-0.049072265625
9,2,attn_head,2.0094375610351562,-0.04630279541015625
9,3,attn_head,1.9545745849609375,-0.101165771484375
9,4,attn_head,2.1841506958007812,0.12841033935546875
9,5,attn_head,2.1014633178710938,0.04572296142578125
9,6,attn_head,2.1154937744140625,0.05975341796875
9,7,attn_head,2.0821304321289062,0.02639007568359375
9,8,attn_head,2.0696640014648438,0.01392364501953125
9,9,attn_head,2.2988967895507812,0.24315643310546875
9,10,attn_head,1.749298095703125,-0.3064422607421875
9,11,attn_head,2.0734329223632812,0.01769256591796875
10,0,attn_head,2.0596160888671875,0.003875732421875
10,1,attn_head,2.0979766845703125,0.042236328125
10,2,attn_head,2.0037155151367188,-0.05202484130859375
10,3,attn_head,2.14208984375,0.0863494873046875
10,4,attn_head,1.9740371704101562,-0.08170318603515625
10,5,attn_head,2.0555572509765625,-0.00018310546875
10,6,attn_head,1.9935455322265625,-0.06219482421875
10,7,attn_head,2.07208251953125,0.0163421630859375
10,8,attn_head,2.092010498046875,0.0362701416015625
10,9,attn_head,2.0956192016601562,0.03987884521484375
10,10,attn_head,2.126708984375,0.0709686279296875
10,11,attn_head,2.0847549438476562,0.02901458740234375
11,0,attn_head,1.9679031372070312,-0.08783721923828125
11,1,attn_head,2.0383987426757812,-0.01734161376953125
11,2,attn_head,2.1565933227539062,0.10085296630859375
11,3,attn_head,2.0897064208984375,0.033966064453125
11,4,attn_head,2.0602035522460938,0.00446319580078125
11,5,attn_head,2.0071945190429688,-0.04854583740234375
11,6,attn_head,2.01434326171875,-0.0413970947265625
11,7,attn_head,1.9757919311523438,-0.07994842529296875
11,8,attn_head,1.975830078125,-0.0799102783203125
11,9,attn_head,2.0785980224609375,0.022857666015625
11,10,attn_head,2.0326614379882812,-0.02307891845703125
11,11,attn_head,2.0820159912109375,0.026275634765625
0,-1,mlp,-0.11945343017578125,-2.1751937866210938
1,-1,mlp,1.6775970458984375,-0.378143310546875
2,-1,mlp,1.7633514404296875,-0.292388916015625
3,-1,mlp,1.239776611328125,-0.8159637451171875
4,-1,mlp,1.5515518188476562,-0.5041885375976562
5,-1,mlp,1.9307937622070312,-0.12494659423828125
6,-1,mlp,1.345428466796875,-0.7103118896484375
7,-1,mlp,2.4061279296875,0.3503875732421875
8,-1,mlp,1.7781829833984375,-0.277557373046875
9,-1,mlp,1.9151611328125,-0.1405792236328125
10,-1,mlp,2.04071044921875,-0.0150299072265625
11,-1,mlp,0.92950439453125,-1.1262359619140625
