layer,head,type,patched_logit_diff,effect
0,0,attn_head,-2.33245849609375,0.01617431640625
0,1,attn_head,-2.3633270263671875,-0.0146942138671875
0,2,attn_head,-2.387298583984375,-0.038665771484375
0,3,attn_head,-2.3478240966796875,0.0008087158203125
0,4,attn_head,-2.3788375854492188,-0.03020477294921875
0,5,attn_head,-2.3476409912109375,0.0009918212890625
0,6,attn_head,-2.3588333129882812,-0.01020050048828125
0,7,attn_head,-2.3301773071289062,0.01845550537109375
0,8,attn_head,-2.2238845825195312,0.12474822998046875
0,9,attn_head,-2.33740234375,0.01123046875
0,10,attn_head,-2.3262481689453125,0.0223846435546875
0,11,attn_head,-2.3133468627929688,0.03528594970703125
1,0,attn_head,-2.3864059448242188,-0.03777313232421875
1,1,attn_head,-2.376220703125,-0.027587890625
1,2,attn_head,-2.3163070678710938,0.03232574462890625
1,3,attn_head,-2.3745040893554688,-0.02587127685546875
1,4,attn_head,-2.3639068603515625,-0.0152740478515625
1,5,attn_head,-2.3448333740234375,0.0037994384765625
1,6,attn_head,-2.3246078491210938,0.02402496337890625
1,7,attn_head,-2.3331985473632812,0.01543426513671875
1,8,attn_head,-2.3603668212890625,-0.0117340087890625
1,9,attn_head,-2.344757080078125,0.003875732421875
1,10,attn_head,-2.3756942749023438,-0.02706146240234375
1,11,attn_head,-2.3180770874023438,0.03055572509765625
2,0,attn_head,-2.3568344116210938,-0.00820159912109375
2,1,attn_head,-2.3558502197265625,-0.0072174072265625
2,2,attn_head,-2.3238601684570312,0.02477264404296875
2,3,attn_head,-2.377349853515625,-0.028717041015625
2,4,attn_head,-2.3866806030273438,-0.03804779052734375
2,5,attn_head,-2.3643951416015625,-0.0157623291015625
2,6,attn_head,-2.302215576171875,0.046417236328125
2,7,attn_head,-2.3616943359375,-0.0130615234375
2,8,attn_head,-2.3643646240234375,-0.0157318115234375
2,9,attn_head,-2.3129425048828125,0.0356903076171875
2,10,attn_head,-2.3414230346679688,0.00720977783203125
2,11,attn_head,-2.3461990356445312,0.00243377685546875
3,0,attn_head,-2.3289031982421875,0.0197296142578125
3,1,attn_head,-2.3677520751953125,-0.0191192626953125
3,2,attn_head,-2.3639755249023438,-0.01534271240234375
3,3,attn_head,-2.3588485717773438,-0.01021575927734375
3,4,attn_head,-2.351776123046875,-0.003143310546875
3,5,attn_head,-2.3206558227539062,0.02797698974609375
3,6,attn_head,-2.3287277221679688,0.01990509033203125
3,7,attn_head,-2.3678741455078125,-0.0192413330078125
3,8,attn_head,-2.3698043823242188,-0.02117156982421875
3,9,attn_head,-2.3236770629882812,0.02495574951171875
3,10,attn_head,-2.3427047729492188,0.00592803955078125
3,11,attn_head,-2.2934341430664062,0.05519866943359375
4,0,attn_head,-2.3656845092773438,-0.01705169677734375
4,1,attn_head,-2.3133621215820312,0.03527069091796875
4,2,attn_head,-2.326751708984375,0.021881103515625
4,3,attn_head,-2.3629531860351562,-0.01432037353515625
4,4,attn_head,-2.3724594116210938,-0.02382659912109375
4,5,attn_head,-2.309356689453125,0.039276123046875
4,6,attn_head,-2.3483200073242188,0.00031280517578125
4,7,attn_head,-2.3578109741210938,-0.00917816162109375
4,8,attn_head,-2.3472671508789062,0.00136566162109375
4,9,attn_head,-2.3353271484375,0.0133056640625
4,10,attn_head,-2.3510894775390625,-0.0024566650390625
4,11,attn_head,-2.2980575561523438,0.05057525634765625
5,0,attn_head,-2.3863601684570312,-0.03772735595703125
5,1,attn_head,-2.3198776245117188,0.02875518798828125
5,2,attn_head,-2.3060302734375,0.0426025390625
5,3,attn_head,-2.3378753662109375,0.0107574462890625
5,4,attn_head,-2.3559036254882812,-0.00727081298828125
5,5,attn_head,-2.3208694458007812,0.02776336669921875
5,6,attn_head,-2.3389053344726562,0.00972747802734375
5,7,attn_head,-2.337188720703125,0.011444091796875
5,8,attn_head,-2.3586654663085938,-0.01003265380859375
5,9,attn_head,-2.3699951171875,-0.0213623046875
5,10,attn_head,-2.346771240234375,0.001861572265625
5,11,attn_head,-2.32794189453125,0.02069091796875
6,0,attn_head,-2.3381195068359375,0.0105133056640625
6,1,attn_head,-2.3248062133789062,0.02382659912109375
6,2,attn_head,-2.2897109985351562,0.05892181396484375
6,3,attn_head,-2.3565444946289062,-0.00791168212890625
6,4,attn_head,-2.3601913452148438,-0.01155853271484375
6,5,attn_head,-2.3853912353515625,-0.0367584228515625
6,6,attn_head,-2.3040542602539062,0.04457855224609375
6,7,attn_head,-2.3220596313476562,0.02657318115234375
6,8,attn_head,-2.3243942260742188,0.02423858642578125
6,9,attn_head,-2.3362808227539062,0.01235198974609375
6,10,attn_head,-2.3669815063476562,-0.01834869384765625
6,11,attn_head,-2.3191452026367188,0.02948760986328125
7,0,attn_head,-2.3125076293945312,0.03612518310546875
7,1,attn_head,-2.3499069213867188,-0.00127410888671875
7,2,attn_head,-2.33428955078125,0.01434326171875
7,3,attn_head,-2.3453521728515625,0.0032806396484375
7,4,attn_head,-2.3554153442382812,-0.00678253173828125
7,5,attn_head,-2.3179473876953125,0.0306854248046875
7,6,attn_head,-2.3366928100585938,0.01194000244140625
7,7,attn_head,-2.290008544921875,0.058624267578125
7,8,attn_head,-2.3382949829101562,0.01033782958984375
7,9,attn_head,-2.3607940673828125,-0.0121612548828125
7,10,attn_head,-2.3450164794921875,0.0036163330078125
