layer,head,type,patched_logit_diff,effect
0,0,attn_head,0.0728759765625,0.00698089599609375
0,1,attn_head,0.0805511474609375,0.01465606689453125
0,2,attn_head,0.08719635009765625,0.02130126953125
0,3,attn_head,0.07807159423828125,0.012176513671875
0,4,attn_head,0.047393798828125,-0.01850128173828125
0,5,attn_head,0.06383514404296875,-0.0020599365234375
0,6,attn_head,0.0803680419921875,0.01447296142578125
0,7,attn_head,0.07855987548828125,0.012664794921875
0,8,attn_head,0.0817108154296875,0.01581573486328125
0,9,attn_head,0.0715179443359375,0.00562286376953125
0,10,attn_head,0.08342742919921875,0.0175323486328125
0,11,attn_head,0.02544403076171875,-0.0404510498046875
1,0,attn_head,0.0703582763671875,0.00446319580078125
1,1,attn_head,0.0485076904296875,-0.01738739013671875
1,2,attn_head,0.04907989501953125,-0.016815185546875
1,3,attn_head,0.06292724609375,-0.00296783447265625
1,4,attn_head,0.05689239501953125,-0.009002685546875
1,5,attn_head,0.0567626953125,-0.00913238525390625
1,6,attn_head,0.0693511962890625,0.00345611572265625
1,7,attn_head,0.07669830322265625,0.01080322265625
1,8,attn_head,0.0739288330078125,0.00803375244140625
1,9,attn_head,0.06488037109375,-0.00101470947265625
1,10,attn_head,0.05483245849609375,-0.0110626220703125
1,11,attn_head,0.05936431884765625,-0.00653076171875
2,0,attn_head,0.0693359375,0.00344085693359375
2,1,attn_head,0.0549163818359375,-0.01097869873046875
2,2,attn_head,0.04729461669921875,-0.0186004638671875
2,3,attn_head,0.06549072265625,-0.00040435791015625
2,4,attn_head,0.06451416015625,-0.00138092041015625
2,5,attn_head,0.06365966796875,-0.00223541259765625
2,6,attn_head,0.07028961181640625,0.00439453125
2,7,attn_head,0.0619659423828125,-0.00392913818359375
2,8,attn_head,0.07280731201171875,0.0069122314453125
2,9,attn_head,0.070709228515625,0.00481414794921875
2,10,attn_head,0.06565093994140625,-0.000244140625
2,11,attn_head,0.05810546875,-0.00778961181640625
3,0,attn_head,0.08641815185546875,0.0205230712890625
3,1,attn_head,0.06916046142578125,0.003265380859375
3,2,attn_head,0.0575103759765625,-0.00838470458984375
3,3,attn_head,0.05924224853515625,-0.00665283203125
3,4,attn_head,0.09235382080078125,0.026458740234375
3,5,attn_head,0.04912567138671875,-0.0167694091796875
3,6,attn_head,0.06475830078125,-0.00113677978515625
3,7,attn_head,0.09506988525390625,0.0291748046875
3,8,attn_head,0.09088897705078125,0.024993896484375
3,9,attn_head,0.06719970703125,0.00130462646484375
3,10,attn_head,0.06931304931640625,0.00341796875
3,11,attn_head,0.0688934326171875,0.00299835205078125
4,0,attn_head,0.06396484375,-0.00193023681640625
4,1,attn_head,0.0644073486328125,-0.00148773193359375
4,2,attn_head,0.07332611083984375,0.0074310302734375
4,3,attn_head,0.0716094970703125,0.00571441650390625
4,4,attn_head,0.057586669921875,-0.00830841064453125
4,5,attn_head,0.05991363525390625,-0.0059814453125
4,6,attn_head,0.05980682373046875,-0.0060882568359375
4,7,attn_head,0.0654754638671875,-0.00041961669921875
4,8,attn_head,0.06572723388671875,-0.0001678466796875
4,9,attn_head,0.0609130859375,-0.00498199462890625
4,10,attn_head,0.06104278564453125,-0.004852294921875
4,11,attn_head,0.0777435302734375,0.01184844970703125
5,0,attn_head,0.05590057373046875,-0.0099945068359375
5,1,attn_head,0.06341552734375,-0.00247955322265625
5,2,attn_head,0.04489898681640625,-0.02099609375
5,3,attn_head,0.0688018798828125,0.00290679931640625
5,4,attn_head,0.0677642822265625,0.00186920166015625
5,5,attn_head,0.06146240234375,-0.00443267822265625
5,6,attn_head,0.04930877685546875,-0.0165863037109375
5,7,attn_head,0.0767974853515625,0.01090240478515625
5,8,attn_head,0.06397247314453125,-0.001922607421875
5,9,attn_head,0.07149505615234375,0.0055999755859375
5,10,attn_head,0.08469390869140625,0.018798828125
5,11,attn_head,0.05524444580078125,-0.010650634765625
6,0,attn_head,0.0630340576171875,-0.00286102294921875
6,1,attn_head,0.090576171875,0.02468109130859375
6,2,attn_head,0.05884552001953125,-0.007049560546875
6,3,attn_head,0.09140777587890625,0.0255126953125
6,4,attn_head,0.07302093505859375,0.0071258544921875
6,5,attn_head,0.0647430419921875,-0.00115203857421875
6,6,attn_head,0.05600738525390625,-0.0098876953125
6,7,attn_head,0.0778656005859375,0.01197052001953125
6,8,attn_head,0.05889129638671875,-0.0070037841796875
6,9,attn_head,0.07959747314453125,0.013702392578125
6,10,attn_head,0.07756805419921875,0.0116729736328125
6,11,attn_head,0.0874481201171875,0.02155303955078125
7,0,attn_head,0.05478668212890625,-0.0111083984375
7,1,attn_head,0.08455657958984375,0.0186614990234375
7,2,attn_head,0.07115936279296875,0.0052642822265625
7,3,attn_head,0.10042572021484375,0.0345306396484375
7,4,attn_head,0.055511474609375,-0.01038360595703125
7,5,attn_head,0.0416107177734375,-0.02428436279296875
7,6,attn_head,0.062408447265625,-0.00348663330078125
7,7,attn_head,0.07924652099609375,0.0133514404296875
7,8,attn_head,0.0543060302734375,-0.01158905029296875
7,9,attn_head,0.07762908935546875,0.0117340087890625
7,10,attn_head,0.07135009765625,0.00545501708984375
7,11,attn_head,0.05877685546875,-0.00711822509765625
8,0,attn_head,0.07013702392578125,0.004241943359375
8,1,attn_head,0.07730865478515625,0.01141357421875
8,2,attn_head,0.09223175048828125,0.026336669921875
8,3,attn_head,0.11701202392578125,0.051116943359375
8,4,attn_head,0.05562591552734375,-0.0102691650390625
8,5,attn_head,0.05751800537109375,-0.0083770751953125
8,6,attn_head,0.08760833740234375,0.0217132568359375
8,7,attn_head,0.1075897216796875,0.04169464111328125
8,8,attn_head,0.0575103759765625,-0.00838470458984375
8,9,attn_head,0.10272216796875,0.03682708740234375
8,10,attn_head,0.05560302734375,-0.01029205322265625
8,11,attn_head,0.09146881103515625,0.02557373046875
9,0,attn_head,0.109161376953125,0.04326629638671875
9,1,attn_head,0.083770751953125,0.01787567138671875
9,2,attn_head,0.172119140625,0.10622406005859375
9,3,attn_head,0.17990875244140625,0.114013671875
9,4,attn_head,0.06243133544921875,-0.0034637451171875
9,5,attn_head,0.0586700439453125,-0.00722503662109375
9,6,attn_head,0.07318115234375,0.00728607177734375
9,7,attn_head,0.12353515625,0.05764007568359375
9,8,attn_head,0.07219696044921875,0.0063018798828125
9,9,attn_head,0.12194061279296875,0.0560455322265625
9,10,attn_head,0.078094482421875,0.01219940185546875
9,11,attn_head,0.0921173095703125,0.02622222900390625
10,0,attn_head,0.0305633544921875,-0.03533172607421875
10,1,attn_head,0.03870391845703125,-0.027191162109375
10,2,attn_head,0.04724884033203125,-0.018646240234375
10,3,attn_head,-0.0763092041015625,-0.14220428466796875
10,4,attn_head,0.0702056884765625,0.00431060791015625
10,5,attn_head,0.07623291015625,0.01033782958984375
10,6,attn_head,0.0741424560546875,0.00824737548828125
10,7,attn_head,0.05535125732421875,-0.0105438232421875
10,8,attn_head,0.08333587646484375,0.0174407958984375
10,9,attn_head,0.0375518798828125,-0.02834320068359375
10,10,attn_head,0.06842803955078125,0.002532958984375
10,11,attn_head,0.05802154541015625,-0.00787353515625
11,0,attn_head,0.07329559326171875,0.0074005126953125
11,1,attn_head,0.05849456787109375,-0.0074005126953125
11,2,attn_head,0.05572509765625,-0.01016998291015625
11,3,attn_head,0.034088134765625,-0.03180694580078125
11,4,attn_head,0.06674957275390625,0.0008544921875
11,5,attn_head,0.0742034912109375,0.00830841064453125
11,6,attn_head,0.07689666748046875,0.0110015869140625
11,7,attn_head,0.07810211181640625,0.01220703125
11,8,attn_head,0.083892822265625,0.01799774169921875
11,9,attn_head,0.0538177490234375,-0.01207733154296875
11,10,attn_head,0.05466461181640625,-0.01123046875
11,11,attn_head,0.08470916748046875,0.0188140869140625
0,-1,mlp,0.49631500244140625,0.430419921875
1,-1,mlp,0.04962158203125,-0.01627349853515625
2,-1,mlp,0.11341094970703125,0.047515869140625
3,-1,mlp,0.15695953369140625,0.091064453125
4,-1,mlp,0.10790252685546875,0.0420074462890625
5,-1,mlp,0.0289154052734375,-0.03697967529296875
6,-1,mlp,0.211761474609375,0.14586639404296875
7,-1,mlp,-0.039764404296875,-0.10565948486328125
8,-1,mlp,0.18540191650390625,0.1195068359375
9,-1,mlp,-0.5437698364257812,-0.6096649169921875
10,-1,mlp,0.02237701416015625,-0.04351806640625
11,-1,mlp,0.13562774658203125,0.069732666015625
