layer,head,type,patched_logit_diff,effect
0,0,attn_head,-0.31475830078125,-0.1193695068359375
0,1,attn_head,-0.33892822265625,-0.1435394287109375
0,2,attn_head,-0.37398529052734375,-0.17859649658203125
0,3,attn_head,-0.40560150146484375,-0.21021270751953125
0,4,attn_head,-0.34212493896484375,-0.14673614501953125
0,5,attn_head,-0.367462158203125,-0.1720733642578125
0,6,attn_head,-0.3135833740234375,-0.118194580078125
0,7,attn_head,-0.30394744873046875,-0.10855865478515625
0,8,attn_head,-0.35596466064453125,-0.16057586669921875
0,9,attn_head,-0.24544525146484375,-0.05005645751953125
0,10,attn_head,-0.41880035400390625,-0.22341156005859375
0,11,attn_head,-0.36354827880859375,-0.16815948486328125
1,0,attn_head,-0.169281005859375,0.0261077880859375
1,1,attn_head,-0.200103759765625,-0.0047149658203125
1,2,attn_head,-0.195770263671875,-0.0003814697265625
1,3,attn_head,-0.1857147216796875,0.009674072265625
1,4,attn_head,-0.18492889404296875,0.01045989990234375
1,5,attn_head,-0.17681121826171875,0.01857757568359375
1,6,attn_head,-0.17879486083984375,0.01659393310546875
1,7,attn_head,-0.16670989990234375,0.02867889404296875
1,8,attn_head,-0.17929840087890625,0.01609039306640625
1,9,attn_head,-0.17476654052734375,0.02062225341796875
1,10,attn_head,-0.1699981689453125,0.025390625
1,11,attn_head,-0.17992401123046875,0.01546478271484375
2,0,attn_head,-0.2199859619140625,-0.02459716796875
2,1,attn_head,-0.19243621826171875,0.00295257568359375
2,2,attn_head,-0.21762847900390625,-0.02223968505859375
2,3,attn_head,-0.203582763671875,-0.0081939697265625
2,4,attn_head,-0.1997528076171875,-0.004364013671875
2,5,attn_head,-0.19937896728515625,-0.00399017333984375
2,6,attn_head,-0.1809539794921875,0.014434814453125
2,7,attn_head,-0.20717620849609375,-0.01178741455078125
2,8,attn_head,-0.20273590087890625,-0.00734710693359375
2,9,attn_head,-0.2181396484375,-0.0227508544921875
2,10,attn_head,-0.19786834716796875,-0.00247955322265625
2,11,attn_head,-0.21158599853515625,-0.01619720458984375
3,0,attn_head,-0.21202850341796875,-0.01663970947265625
3,1,attn_head,-0.24790191650390625,-0.05251312255859375
3,2,attn_head,-0.2259979248046875,-0.030609130859375
3,3,attn_head,-0.1998291015625,-0.0044403076171875
3,4,attn_head,-0.2036285400390625,-0.00823974609375
3,5,attn_head,-0.21773529052734375,-0.02234649658203125
3,6,attn_head,-0.196197509765625,-0.0008087158203125
3,7,attn_head,-0.19995880126953125,-0.00457000732421875
3,8,attn_head,-0.2007293701171875,-0.005340576171875
3,9,attn_head,-0.2298431396484375,-0.034454345703125
3,10,attn_head,-0.20836639404296875,-0.01297760009765625
3,11,attn_head,-0.1990509033203125,-0.003662109375
4,0,attn_head,-0.21617889404296875,-0.02079010009765625
4,1,attn_head,-0.197906494140625,-0.0025177001953125
4,2,attn_head,-0.17810821533203125,0.01728057861328125
4,3,attn_head,-0.14308929443359375,0.05229949951171875
4,4,attn_head,-0.16650390625,0.0288848876953125
4,5,attn_head,-0.1855316162109375,0.009857177734375
4,6,attn_head,-0.17874908447265625,0.01663970947265625
4,7,attn_head,-0.1612701416015625,0.03411865234375
4,8,attn_head,-0.16185760498046875,0.03353118896484375
4,9,attn_head,-0.19031524658203125,0.00507354736328125
4,10,attn_head,-0.1890411376953125,0.00634765625
4,11,attn_head,-0.16811370849609375,0.02727508544921875
5,0,attn_head,-0.25035858154296875,-0.05496978759765625
5,1,attn_head,-0.225433349609375,-0.0300445556640625
5,2,attn_head,-0.219451904296875,-0.0240631103515625
5,3,attn_head,-0.264373779296875,-0.0689849853515625
5,4,attn_head,-0.25556182861328125,-0.06017303466796875
5,5,attn_head,-0.22649383544921875,-0.03110504150390625
5,6,attn_head,-0.28762054443359375,-0.09223175048828125
5,7,attn_head,-0.22499847412109375,-0.02960968017578125
5,8,attn_head,-0.206268310546875,-0.0108795166015625
5,9,attn_head,-0.31081390380859375,-0.11542510986328125
5,10,attn_head,-0.190338134765625,0.0050506591796875
5,11,attn_head,-0.28948211669921875,-0.09409332275390625
6,0,attn_head,-0.21877288818359375,-0.02338409423828125
6,1,attn_head,-0.19986724853515625,-0.00447845458984375
6,2,attn_head,-0.1996002197265625,-0.00421142578125
6,3,attn_head,-0.18544769287109375,0.00994110107421875
6,4,attn_head,-0.19075775146484375,0.00463104248046875
6,5,attn_head,-0.20578765869140625,-0.01039886474609375
6,6,attn_head,-0.23296356201171875,-0.03757476806640625
6,7,attn_head,-0.195465087890625,-7.62939453125e-05
6,8,attn_head,-0.23195648193359375,-0.03656768798828125
6,9,attn_head,-0.19573211669921875,-0.00034332275390625
6,10,attn_head,-0.1986236572265625,-0.00323486328125
6,11,attn_head,-0.204681396484375,-0.0092926025390625
7,0,attn_head,-0.20001983642578125,-0.00463104248046875
7,1,attn_head,-0.229522705078125,-0.0341339111328125
7,2,attn_head,-0.2169189453125,-0.0215301513671875
7,3,attn_head,-0.20362091064453125,-0.00823211669921875
7,4,attn_head,-0.17934417724609375,0.01604461669921875
7,5,attn_head,-0.22815704345703125,-0.03276824951171875
7,6,attn_head,-0.22339630126953125,-0.02800750732421875
7,7,attn_head,-0.17413330078125,0.0212554931640625
7,8,attn_head,-0.212860107421875,-0.0174713134765625
7,9,attn_head,-0.210357666015625,-0.0149688720703125
7,10,attn_head,-0.194793701171875,0.0005950927734375
7,11,attn_head,-0.23210906982421875,-0.03672027587890625
